T	w(CU)	w(FE)	w(TI)	fs	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)	-T//fw(@BCC_A2)	-T_1	fs_1	-T//fs	
K	%	%	%	mole/mole	%	%	%	%	%	%	SI	SI	SI		kg/kg					
1380.334519	0	0	100	1	0	0	100							-1380.334519	1	NaN	-1380.334519	1	NaN	
1377.774519	0	0	100	1	0	0	100							-1377.774519	1	NaN	-1377.774519	1	NaN	
1375.214519	0	0	100	1	0	0	100							-1375.214519	1	NaN	-1375.214519	1	NaN	
1372.654519	0	0	100	1	0	0	100							-1372.654519	1	NaN	-1372.654519	1	NaN	
1370.094519	0	0	100	1	0	0	100							-1370.094519	1	NaN	-1370.094519	1	NaN	
1367.534519	0	0	100	1	0	0	100							-1367.534519	1	NaN	-1367.534519	1	NaN	
1364.974519	0	0	100	1	0	0	100							-1364.974519	1	NaN	-1364.974519	1	NaN	
1362.414519	0	0	100	1	0	0	100							-1362.414519	1	NaN	-1362.414519	1	NaN	
1359.854519	0	0	100	1	0	0	100							-1359.854519	1	NaN	-1359.854519	1	NaN	
1357.294519	0	0	100	1	0	0	100							-1357.294519	1	NaN	-1357.294519	1	NaN	
1354.734519	0	0	100	1	0	0	100							-1354.734519	1	NaN	-1354.734519	1	NaN	
1352.174519	0	0	100	1	0	0	100							-1352.174519	1	NaN	-1352.174519	1	NaN	
1349.614519	0	0	100	1	0	0	100							-1349.614519	1	NaN	-1349.614519	1	NaN	
1347.054519	0	0	100	1	0	0	100							-1347.054519	1	NaN	-1347.054519	1	NaN	
1344.494519	0	0	100	1	0	0	100							-1344.494519	1	NaN	-1344.494519	1	NaN	
1341.934519	0	0	100	1	0	0	100							-1341.934519	1	NaN	-1341.934519	1	NaN	
1339.374519	0	0	100	1	0	0	100							-1339.374519	1	NaN	-1339.374519	1	NaN	
1336.814519	0	0	100	1	0	0	100							-1336.814519	1	NaN	-1336.814519	1	NaN	
1334.254519	0	0	100	1	0	0	100							-1334.254519	1	NaN	-1334.254519	1	NaN	
1331.694519	0	0	100	1	0	0	100							-1331.694519	1	NaN	-1331.694519	1	NaN	
1329.134519	0	0	100	1	0	0	100							-1329.134519	1	NaN	-1329.134519	1	NaN	
1326.574519	0	0	100	1	0	0	100							-1326.574519	1	NaN	-1326.574519	1	NaN	
1324.014519	0	0	100	1	0	0	100							-1324.014519	1	NaN	-1324.014519	1	NaN	
1321.454519	0	0	100	1	0	0	100							-1321.454519	1	NaN	-1321.454519	1	NaN	
1318.894519	0	0	100	1	0	0	100							-1318.894519	1	NaN	-1318.894519	1	NaN	
1316.334519	0	0	100	1	0	0	100							-1316.334519	1	NaN	-1316.334519	1	NaN	
1313.774519	0	0	100	1	0	0	100							-1313.774519	1	NaN	-1313.774519	1	NaN	
1311.214519	0	0	100	1	0	0	100							-1311.214519	1	NaN	-1311.214519	1	NaN	
1308.654519	0	0	100	1	0	0	100							-1308.654519	1	NaN	-1308.654519	1	NaN	
1306.094519	0	0	100	1	0	0	100							-1306.094519	1	NaN	-1306.094519	1	NaN	
1303.534519	0	0	100	1	0	0	100							-1303.534519	1	NaN	-1303.534519	1	NaN	
1300.974519	0	0	100	1	0	0	100							-1300.974519	1	NaN	-1300.974519	1	NaN	
1298.414519	0	0	100	1	0	0	100							-1298.414519	1	NaN	-1298.414519	1	NaN	
1295.854519	0	0	100	1	0	0	100							-1295.854519	1	NaN	-1295.854519	1	NaN	
1293.294519	0	0	100	1	0	0	100							-1293.294519	1	NaN	-1293.294519	1	NaN	
1290.734519	0	0	100	1	0	0	100							-1290.734519	1	NaN	-1290.734519	1	NaN	
1288.174519	0	0	100	1	0	0	100							-1288.174519	1	NaN	-1288.174519	1	NaN	
1285.614519	0	0	100	1	0	0	100							-1285.614519	1	NaN	-1285.614519	1	NaN	
1283.054519	0	0	100	1	0	0	100							-1283.054519	1	NaN	-1283.054519	1	NaN	
1280.494519	0	0	100	1	0	0	100							-1280.494519	1	NaN	-1280.494519	1	NaN	
1277.934519	0	0	100	1	0	0	100							-1277.934519	1	NaN	-1277.934519	1	NaN	
1275.374519	0	0	100	1	0	0	100							-1275.374519	1	NaN	-1275.374519	1	NaN	
1272.814519	0	0	100	1	0	0	100							-1272.814519	1	NaN	-1272.814519	1	NaN	
1270.254519	0	0	100	1	0	0	100							-1270.254519	1	NaN	-1270.254519	1	NaN	
1267.694519	0	0	100	1	0	0	100							-1267.694519	1	NaN	-1267.694519	1	NaN	
