T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1697.81362	3	0	97	1	1	2.999999999	0	97													-1697.81362	1	NaN	
1695.25362	3	0	97	1	1	2.999999999	0	97													-1695.25362	1	NaN	
1692.69362	3	0	97	1	1	2.999999999	0	97													-1692.69362	1	NaN	
1690.13362	3	0	97	1	1	2.999999999	0	97													-1690.13362	1	NaN	
1687.57362	3	0	97	1	1	2.999999999	0	97													-1687.57362	1	NaN	
1685.01362	3	0	97	1	1	2.999999999	0	97													-1685.01362	1	NaN	
1682.45362	3	0	97	1	1	2.999999999	0	97													-1682.45362	1	NaN	
1679.89362	3	0	97	1	1	2.999999999	0	97													-1679.89362	1	NaN	
1677.33362	3	0	97	1	1	2.999999999	0	97													-1677.33362	1	NaN	
1674.77362	3	0	97	1	1	2.999999999	0	97													-1674.77362	1	NaN	
1672.21362	3	0	97	1	1	2.999999999	0	97													-1672.21362	1	NaN	
1669.65362	3	0	97	1	1	2.999999999	0	97													-1669.65362	1	NaN	
1667.09362	3	0	97	1	1	2.999999999	0	97													-1667.09362	1	NaN	
1664.53362	3	0	97	1	1	2.999999999	0	97													-1664.53362	1	NaN	
1661.97362	3	0	97	1	1	2.999999999	0	97													-1661.97362	1	NaN	
1659.41362	3	0	97	1	1	2.999999999	0	97													-1659.41362	1	NaN	
1656.85362	3	0	97	1	1	2.999999999	0	97													-1656.85362	1	NaN	
1654.29362	3	0	97	1	1	2.999999999	0	97													-1654.29362	1	NaN	
1651.73362	3	0	97	1	1	2.999999999	0	97													-1651.73362	1	NaN	
1649.17362	3	0	97	1	1	2.999999999	0	97													-1649.17362	1	NaN	
1646.61362	3	0	97	1	1	2.999999999	0	97													-1646.61362	1	NaN	
1644.05362	3	0	97	1	1	2.999999999	0	97													-1644.05362	1	NaN	
1641.49362	3	0	97	1	1	2.999999999	0	97													-1641.49362	1	NaN	
1638.93362	3	0	97	1	1	2.999999999	0	97													-1638.93362	1	NaN	
1636.37362	3	0	97	1	1	2.999999999	0	97													-1636.37362	1	NaN	
1633.81362	3	0	97	1	1	2.999999999	0	97													-1633.81362	1	NaN	
1631.25362	3	0	97	1	1	2.999999999	0	97													-1631.25362	1	NaN	
1628.69362	3	0	97	1	1	2.999999999	0	97													-1628.69362	1	NaN	
1626.13362	3	0	97	1	1	2.999999999	0	97													-1626.13362	1	NaN	
1623.57362	3	0	97	1	1	2.999999999	0	97													-1623.57362	1	NaN	
1621.01362	3	0	97	1	1	2.999999999	0	97													-1621.01362	1	NaN	
1618.45362	3	0	97	1	1	2.999999999	0	97													-1618.45362	1	NaN	
1615.89362	3	0	97	1	1	2.999999999	0	97													-1615.89362	1	NaN	
1613.33362	3	0	97	1	1	2.999999999	0	97													-1613.33362	1	NaN	
1610.77362	3	0	97	1	1	2.999999999	0	97													-1610.77362	1	NaN	
1608.21362	3	0	97	1	1	2.999999999	0	97													-1608.21362	1	NaN	
1605.65362	3	0	97	1	1	2.999999999	0	97													-1605.65362	1	NaN	
1603.09362	3	0	97	1	1	2.999999999	0	97													-1603.09362	1	NaN	
1600.53362	3	0	97	1	1	2.999999999	0	97													-1600.53362	1	NaN	
1597.97362	3	0	97	1	1	2.999999999	0	97													-1597.97362	1	NaN	
1595.41362	3	0	97	1	1	2.999999999	0	97													-1595.41362	1	NaN	
1592.85362	3	0	97	1	1	2.999999999	0	97													-1592.85362	1	NaN	
1590.29362	3	0	97	1	1	2.999999999	0	97													-1590.29362	1	NaN	
1587.73362	3	0	97	1	1	2.999999999	0	97													-1587.73362	1	NaN	
1585.17362	3	0	97	1	1	2.999999999	0	97													-1585.17362	1	NaN	
1582.61362	3	0	97	1	1	2.999999999	0	97													-1582.61362	1	NaN	
1580.05362	3	0	97	1	1	2.999999999	0	97													-1580.05362	1	NaN	
1577.49362	3	0	97	1	1	2.999999999	0	97													-1577.49362	1	NaN	
1574.93362	3	0	97	1	1	2.999999999	0	97													-1574.93362	1	NaN	
1572.37362	3	0	97	1	1	2.999999999	0	97													-1572.37362	1	NaN	
1569.81362	3	0	97	1	1	2.999999999	0	97													-1569.81362	1	NaN	
1567.25362	3	0	97	1	1	2.999999999	0	97													-1567.25362	1	NaN	
1564.69362	3	0	97	1	1	2.999999999	0	97													-1564.69362	1	NaN	
1562.13362	3	0	97	1	1	2.999999999	0	97													-1562.13362	1	NaN	
1559.57362	3	0	97	1	1	2.999999999	0	97													-1559.57362	1	NaN	
1557.01362	3	0	97	1	1	2.999999999	0	97													-1557.01362	1	NaN	
1554.45362	3	0	97	1	1	2.999999999	0	97													-1554.45362	1	NaN	
1551.89362	3	0	97	1	1	2.999999999	0	97													-1551.89362	1	NaN	
1549.33362	3	0	97	1	1	2.999999999	0	97													-1549.33362	1	NaN	
1546.77362	3	0	97	1	1	2.999999999	0	97													-1546.77362	1	NaN	
1544.21362	3	0	97	1	1	2.999999999	0	97													-1544.21362	1	NaN	
1541.65362	3	0	97	1	1	2.999999999	0	97													-1541.65362	1	NaN	
1539.09362	3	0	97	1	1	2.999999999	0	97													-1539.09362	1	NaN	
1536.53362	3	0	97	1	1	2.999999999	0	97													-1536.53362	1	NaN	
1533.97362	3	0	97	1	1	2.999999999	0	97													-1533.97362	1	NaN	
1531.41362	3	0	97	1	1	2.999999999	0	97													-1531.41362	1	NaN	
1528.85362	3	0	97	1	1	2.999999999	0	97													-1528.85362	1	NaN	
1526.29362	3	0	97	1	1	2.999999999	0	97													-1526.29362	1	NaN	
1523.73362	3	0	97	1	1	2.999999999	0	97													-1523.73362	1	NaN	
1521.17362	3	0	97	1	1	2.999999999	0	97													-1521.17362	1	NaN	
1518.61362	3	0	97	1	1	2.999999999	0	97													-1518.61362	1	NaN	
1516.05362	3	0	97	1	1	2.999999999	0	97													-1516.05362	1	NaN	
1513.49362	3	0	97	1	1	2.999999999	0	97													-1513.49362	1	NaN	
1510.93362	3	0	97	1	1	2.999999999	0	97													-1510.93362	1	NaN	
1508.37362	3	0	97	1	1	2.999999999	0	97													-1508.37362	1	NaN	
1505.81362	3	0	97	1	1	2.999999999	0	97													-1505.81362	1	NaN	
1503.25362	3	0	97	1	1	2.999999999	0	97													-1503.25362	1	NaN	
1500.69362	3	0	97	1	1	2.999999999	0	97													-1500.69362	1	NaN	
1498.13362	3	0	97	1	1	2.999999999	0	97													-1498.13362	1	NaN	
1495.57362	3	0	97	1	1	2.999999999	0	97													-1495.57362	1	NaN	
1493.01362	3	0	97	1	1	2.999999999	0	97													-1493.01362	1	NaN	
1490.45362	3	0	97	1	1	2.999999999	0	97													-1490.45362	1	NaN	
1487.89362	3	0	97	1	1	2.999999999	0	97													-1487.89362	1	NaN	
1485.33362	3	0	97	1	1	2.999999999	0	97													-1485.33362	1	NaN	
1482.77362	3	0	97	1	1	2.999999999	0	97													-1482.77362	1	NaN	
1480.21362	3	0	97	1	1	2.999999999	0	97													-1480.21362	1	NaN	
1477.65362	3	0	97	1	1	2.999999999	0	97													-1477.65362	1	NaN	
1475.09362	3	0	97	1	1	2.999999999	0	97													-1475.09362	1	NaN	
1472.53362	3	0	97	1	1	2.999999999	0	97													-1472.53362	1	NaN	
1469.97362	3	0	97	1	1	2.999999999	0	97													-1469.97362	1	NaN	
1467.41362	3	0	97	1	1	2.999999999	0	97													-1467.41362	1	NaN	
1464.85362	3	0	97	1	1	2.999999999	0	97													-1464.85362	1	NaN	
1462.29362	3	0	97	1	1	2.999999999	0	97													-1462.29362	1	NaN	
1459.73362	3	0	97	1	1	2.999999999	0	97													-1459.73362	1	NaN	
1457.17362	3	0	97	1	1	2.999999999	0	97													-1457.17362	1	NaN	
1454.61362	3	0	97	1	1	2.999999999	0	97													-1454.61362	1	NaN	
1452.05362	3	0	97	1	1	2.999999999	0	97													-1452.05362	1	NaN	
