T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI	SI				
912.6608328	100	0	0	1	1	100	0	0							-912.6608328	1	NaN	
912.5808328	100	0	0	1	1	100	0	0							-912.5808328	1	NaN	
912.5008328	100	0	0	1	1	100	0	0							-912.5008328	1	NaN	
912.4208328	100	0	0	1	1	100	0	0							-912.4208328	1	NaN	
912.3408328	100	0	0	1	1	100	0	0							-912.3408328	1	NaN	
912.2608328	100	0	0	1	1	100	0	0							-912.2608328	1	NaN	
912.1808328	100	0	0	1	1	100	0	0							-912.1808328	1	NaN	
912.1008328	100	0	0	1	1	100	0	0							-912.1008328	1	NaN	
912.0208328	100	0	0	1	1	100	0	0							-912.0208328	1	NaN	
911.9408328	100	0	0	1	1	100	0	0							-911.9408328	1	NaN	
911.8608328	100	0	0	1	1	100	0	0							-911.8608328	1	NaN	
911.7808328	100	0	0	1	1	100	0	0							-911.7808328	1	NaN	
911.7008328	100	0	0	1	1	100	0	0							-911.7008328	1	NaN	
911.6208328	100	0	0	1	1	100	0	0							-911.6208328	1	NaN	
911.5408328	100	0	0	1	1	100	0	0							-911.5408328	1	NaN	
911.4608328	100	0	0	1	1	100	0	0							-911.4608328	1	NaN	
911.3808328	100	0	0	1	1	100	0	0							-911.3808328	1	NaN	
911.3008328	100	0	0	1	1	100	0	0							-911.3008328	1	NaN	
911.2208328	100	0	0	1	1	100	0	0							-911.2208328	1	NaN	
911.1408328	100	0	0	1	1	100	0	0							-911.1408328	1	NaN	
911.0608328	100	0	0	1	1	100	0	0							-911.0608328	1	NaN	
910.9808328	100	0	0	1	1	100	0	0							-910.9808328	1	NaN	
910.9008328	100	0	0	1	1	100	0	0							-910.9008328	1	NaN	
910.8208328	100	0	0	1	1	100	0	0							-910.8208328	1	NaN	
910.7408328	100	0	0	1	1	100	0	0							-910.7408328	1	NaN	
910.6608328	100	0	0	1	1	100	0	0							-910.6608328	1	NaN	
910.5808328	100	0	0	1	1	100	0	0							-910.5808328	1	NaN	
910.5008328	100	0	0	1	1	100	0	0							-910.5008328	1	NaN	
910.4208328	100	0	0	1	1	100	0	0							-910.4208328	1	NaN	
910.3408328	100	0	0	1	1	100	0	0							-910.3408328	1	NaN	
910.2608328	100	0	0	1	1	100	0	0							-910.2608328	1	NaN	
910.1808328	100	0	0	1	1	100	0	0							-910.1808328	1	NaN	
910.1008328	100	0	0	1	1	100	0	0							-910.1008328	1	NaN	
910.0208328	100	0	0	1	1	100	0	0							-910.0208328	1	NaN	
909.9408328	100	0	0	1	1	100	0	0							-909.9408328	1	NaN	
909.8608328	100	0	0	1	1	100	0	0							-909.8608328	1	NaN	
909.7808328	100	0	0	1	1	100	0	0							-909.7808328	1	NaN	
909.7008328	100	0	0	1	1	100	0	0							-909.7008328	1	NaN	
909.6208328	100	0	0	1	1	100	0	0							-909.6208328	1	NaN	
909.5408328	100	0	0	1	1	100	0	0							-909.5408328	1	NaN	
909.4608328	100	0	0	1	1	100	0	0							-909.4608328	1	NaN	
909.3808328	100	0	0	1	1	100	0	0							-909.3808328	1	NaN	
909.3008328	100	0	0	1	1	100	0	0							-909.3008328	1	NaN	
909.2208328	100	0	0	1	1	100	0	0							-909.2208328	1	NaN	
909.1408328	100	0	0	1	1	100	0	0							-909.1408328	1	NaN	
909.0608328	100	0	0	1	1	100	0	0							-909.0608328	1	NaN	
908.9808328	100	0	0	1	1	100	0	0							-908.9808328	1	NaN	
908.9008328	100	0	0	1	1	100	0	0							-908.9008328	1	NaN	
