T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
787.1928245	87	10	3	0.7938617403	0.6901877733	96.69799863	1.288162887	2.013838487	66.44965833	29.77114724	3.779194422	62.54235303	28.42537001	9.032276954				0	0	0	-787.1928245	0.6901877733	366.137926926383	
786.8728245	87	10	3	0.7969172317	0.691053554	96.69520778	1.301406124	2.003386095	66.38110181	29.85407949	3.764818699	62.54235303	28.42537001	9.032276954				0	0	0	-786.8728245	0.691053554	377.073867301942	
786.7928245	87	10	3	0.7976717161	0.6912646946	96.69448868	1.304724896	2.000786423	66.36401449	29.87474227	3.761243234	62.54235303	28.42537001	9.032276954				0	0	0	-786.7928245	0.6912646946	378.100049961185	
786.7761226	87	10	3	1	0.7917151974	96.69433745	1.30541821	2.000244339	66.3604495	29.87905283	3.760497669	62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482	0	0	0	-786.7761226	0.7917151974	-1441.58273994575	
786.7628245	87	10	3	1	0.7917059719	96.6945729	1.305293973	2.000133131				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.7628245	0.7917059719	-1441.31406379567	
786.7428245	87	10	3	1	0.7916920937	96.69492705	1.305107134	1.999965815				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.7428245	0.7916920937	-1441.23893573137	
786.7028245	87	10	3	1	0.7916643448	96.69563524	1.304733505	1.999631258				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.7028245	0.7916643448	-1441.63024350193	
786.6228245	87	10	3	1	0.7916088622	96.69705134	1.303986432	1.998962229				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.6228245	0.7916088622	-1442.15881811934	
786.4628245	87	10	3	1	0.7914979582	96.69988246	1.302493027	1.997624514				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.4628245	0.7914979582	-1443.21871897214	
786.1428245	87	10	3	1	0.791276394	96.70554037	1.29950918	1.994950448				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-786.1428245	0.791276394	-1445.33936898545	
785.5028245	87	10	3	1	0.7908342402	96.71683888	1.29355334	1.989607775				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-785.5028245	0.7908342402	-1449.59477349318	
784.2228245	87	10	3	1	0.7899538164	96.73936663	1.281689122	1.978944252				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-784.2228245	0.7899538164	-1457.12839630014	
781.6628245	87	10	3	1	0.7882047651	96.78414486	1.25815077	1.957704372				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-781.6628245	0.7882047651	-1471.91549357166	
779.1028245	87	10	3	1	0.7864751389	96.8285531	1.234866385	1.936580519				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-779.1028245	0.7864751389	-1488.06312688887	
776.5428245	87	10	3	1	0.7847638553	96.87259103	1.211836494	1.915572471				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-776.5428245	0.7847638553	-1504.01104561752	
773.9828245	87	10	3	1	0.7830707152	96.91625841	1.189061567	1.894680025				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-773.9828245	0.7830707152	-1520.12669004948	
771.4228245	87	10	3	1	0.7813955237	96.959555	1.166542008	1.873902997				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-771.4228245	0.7813955237	-1536.41338484497	
768.8628245	87	10	3	1	0.7797380895	97.00248063	1.144278156	1.853241218				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-768.8628245	0.7797380895	-1552.87445197002	
766.3028245	87	10	3	1	0.7780982251	97.04503517	1.122270289	1.832694541				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-766.3028245	0.7780982251	-1569.51328288652	
763.7428245	87	10	3	1	0.7764757464	97.08721854	1.100518624	1.812262832				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-763.7428245	0.7764757464	-1586.33334948039	
761.1828245	87	10	3	1	0.7748704729	97.12903071	1.079023315	1.791945974				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-761.1828245	0.7748704729	-1603.33829324347	
758.6228245	87	10	3	1	0.7732822275	97.17047168	1.057784457	1.771743867				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-758.6228245	0.7732822275	-1620.53168102968	
756.0628245	87	10	3	1	0.7717108362	97.21154149	1.036802087	1.751656425				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-756.0628245	0.7717108362	-1637.91720345119	
753.5028245	87	10	3	1	0.7701561283	97.25224024	1.016076181	1.731683575				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-753.5028245	0.7701561283	-1655.49872222102	
750.9428245	87	10	3	1	0.7686179362	97.29256808	0.9956066604	1.71182526				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-750.9428245	0.7686179362	-1673.28012080311	
748.3828245	87	10	3	1	0.7670960953	97.33252518	0.9753933872	1.692081436				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-748.3828245	0.7670960953	-1691.2653513181	
745.8228245	87	10	3	1	0.7655904439	97.37211176	0.955436169	1.672452071				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-745.8228245	0.7655904439	-1709.45849030374	
743.2628245	87	10	3	1	0.7641008232	97.4113281	0.9357347576	1.652937147				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-743.2628245	0.7641008232	-1727.86368010104	
740.7028245	87	10	3	1	0.7626270771	97.45017449	0.9162888503	1.633536655				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-740.7028245	0.7626270771	-1746.48519160415	
738.1428245	87	10	3	1	0.7611690523	97.48865131	0.8970980907	1.6142506				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-738.1428245	0.7611690523	-1765.32742000836	
735.5828245	87	10	3	1	0.7597265981	97.52675893	0.8781620693	1.595078997				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-735.5828245	0.7597265981	-1784.39476855328	
733.0228245	87	10	3	1	0.7582995663	97.5644978	0.8594803245	1.576021872				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-733.0228245	0.7582995663	-1803.69176550214	
730.4628245	87	10	3	1	0.7568878112	97.6018684	0.8410523426	1.557079259				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-730.4628245	0.7568878112	-1823.22306419869	
727.9028245	87	10	3	1	0.7554911895	97.63887124	0.8228775595	1.538251204				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-727.9028245	0.7554911895	-1842.99351626952	
725.3428245	87	10	3	1	0.7541095604	97.67550688	0.8049553604	1.519537761				62.54235303	28.42537001	9.032276954	43.36164434	51.06106018	5.577295482				-725.3428245	0.7541095604	-1864.63171838336	
