T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
589.5964768	98	0	2	1	0.9625998236	98.63821595	0	1.361784047				81.57371377	0	18.42628623				-589.5964768	0.9625998236	-2210.95270752104	
587.0364768	98	0	2	1	0.9614479144	98.65884708	0	1.34115292				81.56907041	0	18.43092959				-587.0364768	0.9614479144	-2234.14744193536	
584.4764768	98	0	2	1	0.9603079962	98.67932629	0	1.320673711				81.56439908	0	18.43560092				-584.4764768	0.9603079962	-2257.71624717134	
581.9164768	98	0	2	1	0.9591800105	98.69965324	0	1.300346763				81.55969986	0	18.44030014				-581.9164768	0.9591800105	-2281.66948588964	
579.3564768	98	0	2	1	0.9580638996	98.71982758	0	1.280172422				81.55497282	0	18.44502718				-579.3564768	0.9580638996	-2306.01795696833	
576.7964768	98	0	2	1	0.9569596071	98.73984896	0	1.260151039				81.55021804	0	18.44978196				-576.7964768	0.9569596071	-2330.77276520969	
574.2364768	98	0	2	1	0.9558670773	98.75971703	0	1.240282969				81.5454356	0	18.4545644				-574.2364768	0.9558670773	-2355.94537962502	
571.6764768	98	0	2	1	0.9547862557	98.77943143	0	1.220568572				81.54062555	0	18.45937445				-571.6764768	0.9547862557	-2381.54770787502	
569.1164768	98	0	2	1	0.9537170885	98.79899179	0	1.201008211				81.53578799	0	18.46421201				-569.1164768	0.9537170885	-2407.5920498168	
566.5564768	98	0	2	1	0.952659523	98.81839775	0	1.181602254				81.53092296	0	18.46907704				-566.5564768	0.952659523	-2434.09130335616	
563.9964768	98	0	2	1	0.9516135073	98.83764893	0	1.162351071				81.52603053	0	18.47396947				-563.9964768	0.9516135073	-2461.05867400405	
561.4364768	98	0	2	1	0.9505789904	98.85674496	0	1.143255037				81.52111076	0	18.47888924				-561.4364768	0.9505789904	-2488.50790313306	
558.8764768	98	0	2	1	0.9495559221	98.87568547	0	1.124314526				81.51616373	0	18.48383627				-558.8764768	0.9495559221	-2516.45343248212	
556.3164768	98	0	2	1	0.9485442532	98.89447008	0	1.105529919				81.51118947	0	18.48881053				-556.3164768	0.9485442532	-2544.9100436684	
553.7564768	98	0	2	1	0.9475439351	98.9130984	0	1.086901597				81.50618806	0	18.49381194				-553.7564768	0.9475439351	-2573.89289408951	
551.1964768	98	0	2	1	0.94655492	98.93157006	0	1.068429942				81.50115953	0	18.49884047				-551.1964768	0.94655492	-2603.4180273183	
548.6364768	98	0	2	1	0.9455771609	98.94988466	0	1.050115339				81.49610396	0	18.50389604				-548.6364768	0.9455771609	-2633.50217093646	
546.0764768	98	0	2	1	0.9446106116	98.96804183	0	1.031958174				81.49102139	0	18.50897861				-546.0764768	0.9446106116	-2664.16234752055	
543.5164768	98	0	2	1	0.9436552264	98.98604117	0	1.013958834				81.48591186	0	18.51408814				-543.5164768	0.9436552264	-2695.41646382103	
540.9564768	98	0	2	1	0.9427109605	99.00388229	0	0.9961177061				81.48077543	0	18.51922457				-540.9564768	0.9427109605	-2727.28317285736	
538.3964768	98	0	2	1	0.9417777696	99.02156482	0	0.978435178				81.47561214	0	18.52438786				-538.3964768	0.9417777696	-2759.7816635804	
535.8364768	98	0	2	1	0.9408556101	99.03908836	0	0.9609116372				81.47042204	0	18.52957796				-535.8364768	0.9408556101	-2792.93240907348	
533.2764768	98	0	2	1	0.9399444392	99.05645253	0	0.943547471				81.46520517	0	18.53479483				-533.2764768	0.9399444392	-2826.75599575497	
530.7164768	98	0	2	1	0.9390442143	99.07365693	0	0.9263430655				81.45996157	0	18.54003843				-530.7164768	0.9390442143	-2861.27394870198	
528.1564768	98	0	2	1	0.9381548936	99.09070119	0	0.9092988059				81.45469128	0	18.54530872				-528.1564768	0.9381548936	-2896.50936317646	
525.5964768	98	0	2	1	0.9372764359	99.10758492	0	0.8924150758				81.44939434	0	18.55060566				-525.5964768	0.9372764359	-2932.48572331282	
523.0364768	98	0	2	1	0.9364088004	99.12430774	0	0.8756922568				81.4440708	0	18.5559292				-523.0364768	0.9364088004	-2969.22740825341	
520.4764768	98	0	2	1	0.9355519468	99.14086927	0	0.8591307281				81.43872067	0	18.56127933				-520.4764768	0.9355519468	-3006.76024864287	
517.9164768	98	0	2	1	0.9347058354	99.15726913	0	0.8427308664				81.43334401	0	18.56665599				-517.9164768	0.9347058354	-3045.11089159376	
515.3564768	98	0	2	1	0.9338704268	99.17350696	0	0.826493045				81.42794085	0	18.57205915				-515.3564768	0.9338704268	-3084.30685875139	
512.7964768	98	0	2	1	0.933045682	99.18958237	0	0.8104176337				81.42251121	0	18.57748879				-512.7964768	0.933045682	-3124.3773154274	
510.2364768	98	0	2	1	0.9322315625	99.205495	0	0.7945049984				81.41705512	0	18.58294488				-510.2364768	0.9322315625	-3165.35279254498	
507.6764768	98	0	2	1	0.9314280302	99.2212445	0	0.7787555004				81.41157263	0	18.58842737				-507.6764768	0.9314280302	-3207.26487561888	
505.1164768	98	0	2	1	0.9306350473	99.2368305	0	0.7631694963				81.40606375	0	18.59393625				-505.1164768	0.9306350473	-3250.14623851052	
502.5564768	98	0	2	1	0.9298525762	99.25225266	0	0.7477473371				81.40052852	0	18.59947148				-502.5564768	0.9298525762	-3294.03154821322	
499.9964768	98	0	2	1	0.9290805798	99.26751063	0	0.7324893682				81.39496695	0	18.60503305				-499.9964768	0.9290805798	-3338.95690150074	
497.4364768	98	0	2	1	0.9283190211	99.28260407	0	0.7173959286				81.38937909	0	18.61062091				-497.4364768	0.9283190211	-3384.95997716222	
494.8764768	98	0	2	1	0.9275678635	99.29753265	0	0.7024673506				81.38376494	0	18.61623506				-494.8764768	0.9275678635	-3432.08050533064	
492.3164768	98	0	2	1	0.9268270706	99.31229604	0	0.6877039591				81.37812454	0	18.62187546				-492.3164768	0.9268270706	-3480.35925950173	
489.7564768	98	0	2	1	0.926096606	99.32689393	0	0.6731060713				81.37245791	0	18.62754209				-489.7564768	0.926096606	-3529.83929859897	
487.1964768	98	0	2	1	0.9253764336	99.341326	0	0.658673996				81.36676506	0	18.63323494				-487.1964768	0.9253764336	-3580.56657758135	
484.6364768	98	0	2	1	0.9246665176	99.35559197	0	0.6444080331				81.36104603	0	18.63895397				-484.6364768	0.9246665176	-3632.58811413868	
482.0764768	98	0	2	1	0.923966822	99.36969153	0	0.6303084733				81.35530082	0	18.64469918				-482.0764768	0.923966822	-3685.95311807836	
479.5164768	98	0	2	1	0.923277311	99.3836244	0	0.6163755972				81.34952945	0	18.65047055				-479.5164768	0.923277311	-3740.71438077449	
476.9564768	98	0	2	1	0.922597949	99.39739033	0	0.6026096748				81.34373195	0	18.65626805				-476.9564768	0.922597949	-3796.92634458047	
474.3964768	98	0	2	1	0.9219287002	99.41098903	0	0.5890109652				81.33790833	0	18.66209167				-474.3964768	0.9219287002	-3854.64637940557	
471.8364768	98	0	2	1	0.921269529	99.42442028	0	0.5755797155				81.33205861	0	18.66794139				-471.8364768	0.921269529	-3913.93484064497	
469.2764768	98	0	2	1	0.9206203996	99.43768384	0	0.5623161609				81.32618279	0	18.67381721				-469.2764768	0.9206203996	-3974.85477680975	
466.7164768	98	0	2	1	0.9199812762	99.45077948	0	0.5492205232				81.3202809	0	18.6797191				-466.7164768	0.9199812762	-4037.47260286618	
464.1564768	98	0	2	1	0.9193521228	99.46370699	0	0.536293011				81.31435293	0	18.68564707				-464.1564768	0.9193521228	-4101.85908619526	
461.5964768	98	0	2	1	0.9187329036	99.47646618	0	0.5235338186				81.30839892	0	18.69160108				-461.5964768	0.9187329036	-4168.08783654143	
459.0364768	98	0	2	1	0.9181235823	99.48905687	0	0.5109431254				81.30241886	0	18.69758114				-459.0364768	0.9181235823	-4236.235284135	
456.4764768	98	0	2	1	0.9175241224	99.5014789	0	0.4985210951				81.29641277	0	18.70358723				-456.4764768	0.9175241224	-4306.38426487151	
453.9164768	98	0	2	1	0.9169344875	99.51373212	0	0.4862678756				81.29038065	0	18.70961935				-453.9164768	0.9169344875	-4378.62081345335	
451.3564768	98	0	2	1	0.9163546406	99.5258164	0	0.4741835974				81.28432251	0	18.71567749				-451.3564768	0.9163546406	-4453.03529631053	
