T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
747.6856819	82	16	2	1	0.7206936802	96.95039531	2.108742681	0.9408620062				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-747.6856819	0.7206936802	-3229.3391742027	
745.1256819	82	16	2	1	0.7199080586	97.00932597	2.061031383	0.9296426461				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-745.1256819	0.7199080586	-3288.80306208885	
742.5656819	82	16	2	1	0.7191366243	97.06732873	2.014218887	0.9184523848				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-742.5656819	0.7191366243	-3349.21459814584	
740.0056819	82	16	2	1	0.7183790893	97.1244185	1.968288478	0.9072930266				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-740.0056819	0.7183790893	-3410.59962829946	
737.4456819	82	16	2	1	0.7176351749	97.18060975	1.923223915	0.8961663321				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-737.4456819	0.7176351749	-3472.98523419642	
734.8856819	82	16	2	1	0.7169046115	97.23591656	1.879009416	0.8850740195				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-734.8856819	0.7169046115	-3536.39891309267	
732.3256819	82	16	2	1	0.7161871378	97.2903526	1.83562963	0.874017766				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-732.3256819	0.7161871378	-3600.86852279155	
729.7656819	82	16	2	1	0.7154825006	97.34393117	1.793069624	0.8629992087				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-729.7656819	0.7154825006	-3666.4239020511	
727.2056819	82	16	2	1	0.7147904547	97.39666519	1.751314861	0.8520199461				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-727.2056819	0.7147904547	-3733.09529190428	
724.6456819	82	16	2	1	0.7141107621	97.44856727	1.710351187	0.8410815388				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-724.6456819	0.7141107621	-3800.91359710731	
722.0856819	82	16	2	1	0.713443192	97.49964968	1.670164811	0.8301855102				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-722.0856819	0.713443192	-3869.91070379446	
719.5256819	82	16	2	1	0.7127875202	97.54992436	1.630742289	0.8193333483				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-719.5256819	0.7127875202	-3940.1198648084	
716.9656819	82	16	2	1	0.7121435292	97.59940298	1.592070515	0.8085265057				43.36164434	51.06106018	5.577295482	43.66113616	54.84131265	1.497551188							-716.9656819	0.7121435292	-4011.5755494878	
