T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@HCP_A3)	w(FE@HCP_A3)	w(TI@HCP_A3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1596.256136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1596.256136	1	NaN	
1593.696136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1593.696136	1	NaN	
1591.136136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1591.136136	1	NaN	
1588.576136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1588.576136	1	NaN	
1586.016136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1586.016136	1	NaN	
1583.456136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1583.456136	1	NaN	
1580.896136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1580.896136	1	NaN	
1578.336136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1578.336136	1	NaN	
1575.776136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1575.776136	1	NaN	
1573.216136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1573.216136	1	NaN	
1570.656136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1570.656136	1	NaN	
1568.096136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1568.096136	1	NaN	
1565.536136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1565.536136	1	NaN	
1562.976136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1562.976136	1	NaN	
1560.416136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1560.416136	1	NaN	
1557.856136	4	2	94	1	1	3.999999986	1.999999987	94.00000003																-1557.856136	1	NaN	
1555.296136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1555.296136	1	NaN	
1552.736136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1552.736136	1	NaN	
1550.176136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1550.176136	1	NaN	
1547.616136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1547.616136	1	NaN	
1545.056136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1545.056136	1	NaN	
1542.496136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1542.496136	1	NaN	
1539.936136	4	2	94	1	1	3.999999985	1.999999987	94.00000003																-1539.936136	1	NaN	
1537.376136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1537.376136	1	NaN	
1534.816136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1534.816136	1	NaN	
1532.256136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1532.256136	1	NaN	
1529.696136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1529.696136	1	NaN	
1527.136136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1527.136136	1	NaN	
1524.576136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1524.576136	1	NaN	
1522.016136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1522.016136	1	NaN	
1519.456136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1519.456136	1	NaN	
1516.896136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1516.896136	1	NaN	
1514.336136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1514.336136	1	NaN	
1511.776136	4	2	94	1	1	3.999999985	1.999999986	94.00000003																-1511.776136	1	NaN	
1509.216136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1509.216136	1	NaN	
1506.656136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1506.656136	1	NaN	
1504.096136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1504.096136	1	NaN	
1501.536136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1501.536136	1	NaN	
1498.976136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1498.976136	1	NaN	
1496.416136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1496.416136	1	NaN	
1493.856136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1493.856136	1	NaN	
1491.296136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1491.296136	1	NaN	
1488.736136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1488.736136	1	NaN	
1486.176136	4	2	94	1	1	3.999999984	1.999999986	94.00000003																-1486.176136	1	NaN	
1483.616136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1483.616136	1	NaN	
1481.056136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1481.056136	1	NaN	
1478.496136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1478.496136	1	NaN	
1475.936136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1475.936136	1	NaN	
1473.376136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1473.376136	1	NaN	
1470.816136	4	2	94	1	1	3.999999984	1.999999985	94.00000003																-1470.816136	1	NaN	
1468.256136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1468.256136	1	NaN	
1465.696136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1465.696136	1	NaN	
1463.136136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1463.136136	1	NaN	
1460.576136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1460.576136	1	NaN	
1458.016136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1458.016136	1	NaN	
1455.456136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1455.456136	1	NaN	
1452.896136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1452.896136	1	NaN	
1450.336136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1450.336136	1	NaN	
1447.776136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1447.776136	1	NaN	
1445.216136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1445.216136	1	NaN	
1442.656136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1442.656136	1	NaN	
1440.096136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1440.096136	1	NaN	
1437.536136	4	2	94	1	1	3.999999983	1.999999985	94.00000003																-1437.536136	1	NaN	
1434.976136	4	2	94	1	1	3.999999983	1.999999984	94.00000003																-1434.976136	1	NaN	
1432.416136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1432.416136	1	NaN	
1429.856136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1429.856136	1	NaN	
1427.296136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1427.296136	1	NaN	
1424.736136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1424.736136	1	NaN	
1422.176136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1422.176136	1	NaN	
1419.616136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1419.616136	1	NaN	
1417.056136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1417.056136	1	NaN	
1414.496136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1414.496136	1	NaN	
1411.936136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1411.936136	1	NaN	
1409.376136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1409.376136	1	NaN	
1406.816136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1406.816136	1	NaN	
1404.256136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1404.256136	1	NaN	
1401.696136	4	2	94	1	1	3.999999982	1.999999984	94.00000003																-1401.696136	1	NaN	
1399.136136	4	2	94	1	1	3.999999981	1.999999984	94.00000003																-1399.136136	1	NaN	
