T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
454.0950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-454.0950902	0.733230215	NaN	
448.9750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-448.9750902	0.733230215	NaN	
443.8550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-443.8550902	0.733230215	NaN	
438.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-438.7350902	0.733230215	NaN	
433.6150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-433.6150902	0.733230215	NaN	
428.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-428.4950902	0.733230215	NaN	
423.3750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-423.3750902	0.733230215	NaN	
418.2550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-418.2550902	0.733230215	NaN	
413.1350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-413.1350902	0.733230215	NaN	
408.0150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-408.0150902	0.733230215	NaN	
402.8950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-402.8950902	0.733230215	NaN	
397.7750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-397.7750902	0.733230215	NaN	
392.6550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-392.6550902	0.733230215	NaN	
387.5350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-387.5350902	0.733230215	NaN	
382.4150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-382.4150902	0.733230215	NaN	
377.2950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-377.2950902	0.733230215	NaN	
372.1750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-372.1750902	0.733230215	NaN	
367.0550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-367.0550902	0.733230215	NaN	
361.9350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-361.9350902	0.733230215	NaN	
356.8150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-356.8150902	0.733230215	NaN	
351.6950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-351.6950902	0.733230215	NaN	
346.5750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-346.5750902	0.733230215	NaN	
341.4550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-341.4550902	0.733230215	NaN	
336.3350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-336.3350902	0.733230215	NaN	
331.2150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-331.2150902	0.733230215	NaN	
326.0950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-326.0950902	0.733230215	NaN	
320.9750902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-320.9750902	0.733230215	NaN	
315.8550902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-315.8550902	0.733230215	NaN	
310.7350902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-310.7350902	0.733230215	NaN	
305.6150902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-305.6150902	0.733230215	NaN	
300.4950902	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-300.4950902	0.733230215	NaN	
300	97	3	1	0.733230215	95.49420105	4.505798945			81.86535702	18.13464298			-300	0.733230215	NaN	
