T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	w(AL@DIAMOND_A4)	w(CU@DIAMOND_A4)	w(SI@DIAMOND_A4)	w(AL@ALCU_THETA)	w(CU@ALCU_THETA)	w(SI@ALCU_THETA)	dwdT_L(AL@FCC_A1)	dwdT_L(CU@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	dwdT_L(AL@DIAMOND_A4)	dwdT_L(CU@DIAMOND_A4)	dwdT_L(SI@DIAMOND_A4)	dwdT_L(AL@ALCU_THETA)	dwdT_L(CU@ALCU_THETA)	dwdT_L(SI@ALCU_THETA)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI				
794.541459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-794.541459	0.5090132595	0.0393049121542913	
794.521459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-794.521459	0.5090132595	NaN	
794.481459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-794.481459	0.5090132595	NaN	
794.401459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-794.401459	0.5090132595	NaN	
794.241459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-794.241459	0.5090132595	NaN	
793.921459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-793.921459	0.5090132595	NaN	
793.281459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-793.281459	0.5090132595	NaN	
792.001459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-792.001459	0.5090132595	NaN	
789.441459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-789.441459	0.5090132595	NaN	
784.321459	87	3	10	1	0.5090132595	93.64014752	5.263329587	1.096522896				2.770842715E-05	0	99.99997229	47.40672744	52.59327256	0	0	0	0				0		0	0	0		-784.321459	0.5090132595	NaN	
