T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
903.5356561	96	4	0.4321088798	0.003864824289	98.12416968	1.875830317	94.11298041	5.887019592			0	0	-903.5356561	0.003864824289	-7478.09842964507	
903.4556561	96	4	0.4342880237	0.003854154624	98.11924151	1.880758495	94.09747992	5.902520081			0	0	-903.4556561	0.003854154624	-7517.8439146522	
903.3756561	96	4	0.4364528028	0.003843541293	98.11431357	1.885686427	94.08198149	5.918018515			0	0	-903.3756561	0.003843541293	-7557.69428639767	
903.2956561	96	4	0.4386033498	0.003832983851	98.10938588	1.890614115	94.06648511	5.933514886			0	0	-903.2956561	0.003832983851	-7597.64900638622	
903.2156561	96	4	0.4407397957	0.003822481855	98.10445844	1.895541561	94.05099081	5.949009191			0	0	-903.2156561	0.003822481855	-7637.70758955122	
903.1356561	96	4	0.4428622699	0.003812034868	98.09953123	1.900468767	94.03549858	5.964501424			0	0	-903.1356561	0.003812034868	-7677.87103408578	
903.0556561	96	4	0.4449709003	0.003801642459	98.09460427	1.905395733	94.02000842	5.979991579			0	0	-903.0556561	0.003801642459	-7718.13892106732	
902.9756561	96	4	0.4470658134	0.003791304199	98.08967754	1.910322462	94.00452035	5.995479651			0	0	-902.9756561	0.003791304199	-7758.51089020726	
902.8956561	96	4	0.449147134	0.003781019665	98.08475105	1.915248954	93.98903437	6.010965634			0	0	-902.8956561	0.003781019665	-7798.98773142529	
902.8156561	96	4	0.4512149856	0.003770788439	98.07982479	1.920175213	93.97355048	6.026449524			0	0	-902.8156561	0.003770788439	-7839.56915609061	
902.7356561	96	4	0.4532694904	0.003760610106	98.07489876	1.925101239	93.95806868	6.041931315			0	0	-902.7356561	0.003760610106	-7880.25453151056	
902.6556561	96	4	0.4553107688	0.003750484255	98.06997297	1.930027033	93.942589	6.057411002			0	0	-902.6556561	0.003750484255	-7921.04481926571	
902.5756561	96	4	0.4573389402	0.003740410482	98.0650474	1.934952599	93.92711142	6.07288858			0	0	-902.5756561	0.003740410482	-7961.9394392187	
902.4956561	96	4	0.4593541222	0.003730388383	98.06012206	1.939877936	93.91163596	6.088364042			0	0	-902.4956561	0.003730388383	-8002.93829268301	
902.4156561	96	4	0.4613564315	0.003720417562	98.05519695	1.944803047	93.89616261	6.103837385			0	0	-902.4156561	0.003720417562	-8044.04207086425	
902.3356561	96	4	0.4633459832	0.003710497625	98.05027207	1.949727933	93.8806914	6.119308603			0	0	-902.3356561	0.003710497625	-8085.25034869752	
902.2556561	96	4	0.465322891	0.003700628183	98.0453474	1.954652597	93.86522231	6.13477769			0	0	-902.2556561	0.003700628183	-8126.5627008448	
902.1756561	96	4	0.4672872675	0.003690808849	98.04042296	1.959577039	93.84975536	6.150244641			0	0	-902.1756561	0.003690808849	-8167.97959511724	
902.0956561	96	4	0.4692392238	0.003681039243	98.03549874	1.96450126	93.83429055	6.165709451			0	0	-902.0956561	0.003681039243	-8209.50151825656	
902.0156561	96	4	0.4711788701	0.003671318987	98.03057474	1.969425264	93.81882788	6.181172116			0	0	-902.0156561	0.003671318987	-8251.12734285353	
901.9356561	96	4	0.4731063149	0.003661647706	98.02565095	1.974349051	93.80336737	6.196632629			0	0	-901.9356561	0.003661647706	-8292.85766519206	
901.8556561	96	4	0.4750216657	0.003652025031	98.02072738	1.979272623	93.78790901	6.212090986			0	0	-901.8556561	0.003652025031	-8334.69312156809	
901.7756561	96	4	0.4769250288	0.003642450596	98.01580402	1.984195981	93.77245282	6.227547181			0	0	-901.7756561	0.003642450596	-8376.63311308232	
901.6956561	96	4	0.4788165093	0.003632924038	98.01088087	1.989119128	93.75699879	6.24300121			0	0	-901.6956561	0.003632924038	-8418.67750489351	
901.6156561	96	4	0.480696211	0.003623444998	98.00595794	1.994042064	93.74154693	6.258453067			0	0	-901.6156561	0.003623444998	-8460.82618884261	
901.5356561	96	4	0.4825642367	0.00361401312	98.00103521	1.998964791	93.72609725	6.273902747			0	0	-901.5356561	0.00361401312	-8503.07910237328	
