T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
653.7782021	91	9	0.7949687333	0.009115765288	92.43903573	7.560964272	66.28943309	33.71056691	0	0	-653.7782021	0.009115765288	-38409.1466908576	
651.2182021	91	9	0.7968435063	0.009049939031	92.33798673	7.662013273	66.05154245	33.94845755	0	0	-651.2182021	0.009049939031	-39396.2467840998	
648.6582021	91	9	0.7986880641	0.00898576184	92.23610508	7.763894924	65.81412086	34.18587914	0	0	-648.6582021	0.00898576184	-40408.5804880258	
646.0982021	91	9	0.8005032451	0.008923192483	92.13338191	7.866618088	65.57715461	34.42284539	0	0	-646.0982021	0.008923192483	-41447.1887985851	
643.5382021	91	9	0.8022898578	0.008862191348	92.02980828	7.97019172	65.34063008	34.65936992	0	0	-643.5382021	0.008862191348	-42513.1800121825	
640.9782021	91	9	0.8040486817	0.008802720379	91.92537512	8.07462488	65.10453378	34.89546622	0	0	-640.9782021	0.008802720379	-43607.735411022	
638.4182021	91	9	0.8057804692	0.008744743004	91.82007328	8.179926724	64.86885235	35.13114765	0	0	-638.4182021	0.008744743004	-44732.1163731078	
635.8582021	91	9	0.8074859462	0.00868822408	91.71389349	8.286106512	64.63357252	35.36642748	0	0	-635.8582021	0.00868822408	-45887.6711369266	
633.2982021	91	9	0.8091658139	0.008633129829	91.60682639	8.393173605	64.39868114	35.60131886	0	0	-633.2982021	0.008633129829	-47075.839473719	
630.7382021	91	9	0.8108207494	0.008579427782	91.49886253	8.501137468	64.16416514	35.83583486	0	0	-630.7382021	0.008579427782	-48298.1628597255	
628.1782021	91	9	0.8124514067	0.008527086727	91.38999233	8.610007671	63.93001156	36.06998844	0	0	-628.1782021	0.008527086727	-49556.2945827494	
625.6182021	91	9	0.8140584182	0.008476076661	91.28020611	8.719793888	63.69620754	36.30379246	0	0	-625.6182021	0.008476076661	-50852.0054876311	
623.0582021	91	9	0.8156423949	0.008426368735	91.1694941	8.830505903	63.46274028	36.53725972	0	0	-623.0582021	0.008426368735	-52187.1996987721	
620.4982021	91	9	0.817203928	0.00837793522	91.0578464	8.942153605	63.22959706	36.77040294	0	0	-620.4982021	0.00837793522	-53563.9234816617	
617.9382021	91	9	0.8187435892	0.008330749452	90.94525301	9.054746993	62.99676527	37.00323473	0	0	-617.9382021	0.008330749452	-54984.3782929958	
615.3782021	91	9	0.8202619319	0.0082847858	90.83170382	9.168296177	62.76423234	37.23576766	0	0	-615.3782021	0.0082847858	-56450.9404548552	
612.8182021	91	9	0.8217594915	0.008240019625	90.71718862	9.282811376	62.53198577	37.46801423	0	0	-612.8182021	0.008240019625	-57966.1712964516	
610.2582021	91	9	0.8232367866	0.00819642724	90.60169708	9.398302922	62.30001313	37.69998687	0	0	-610.2582021	0.00819642724	-59532.8409977418	
