T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
680.1650902	97	0	3	1	0.94949696	97.81277954	0	2.187220464				81.71911298	0	18.28088702				-680.1650902	0.94949696	-1686.73130088346	
677.6050902	97	0	3	1	0.9479862665	97.83862234	0	2.161377659				81.71553627	0	18.28446373				-677.6050902	0.9479862665	-1702.60295887678	
675.0450902	97	0	3	1	0.9464896676	97.8643204	0	2.135679604				81.71192654	0	18.28807346				-675.0450902	0.9464896676	-1718.65229002681	
672.4850902	97	0	3	1	0.9450070567	97.88987366	0	2.110126336				81.70828401	0	18.29171599				-672.4850902	0.9450070567	-1734.88310660529	
669.9250902	97	0	3	1	0.9435383295	97.9152821	0	2.084717898				81.70460889	0	18.29539111				-669.9250902	0.9435383295	-1751.29959867734	
667.3650902	97	0	3	1	0.9420833836	97.94054565	0	2.059454349				81.7009014	0	18.2990986				-667.3650902	0.9420833836	-1767.90570583824	
664.8050902	97	0	3	1	0.9406421182	97.96566424	0	2.034335757				81.69716174	0	18.30283826				-664.8050902	0.9406421182	-1784.70577958048	
662.2450902	97	0	3	1	0.9392144348	97.9906378	0	2.0093622				81.6933901	0	18.3066099				-662.2450902	0.9392144348	-1801.70413881987	
659.6850902	97	0	3	1	0.9378002362	98.01546623	0	1.98453377				81.68958669	0	18.31041331				-659.6850902	0.9378002362	-1818.90523112458	
657.1250902	97	0	3	1	0.9363994274	98.04014943	0	1.959850569				81.68575169	0	18.31424831				-657.1250902	0.9363994274	-1836.31379035485	
654.5650902	97	0	3	1	0.9350119149	98.06468729	0	1.935312707				81.68188529	0	18.31811471				-654.5650902	0.9350119149	-1853.93455409464	
652.0050902	97	0	3	1	0.9336376071	98.08907969	0	1.910920309				81.67798766	0	18.32201234				-652.0050902	0.9336376071	-1871.77257436652	
649.4450902	97	0	3	1	0.9322764141	98.11332649	0	1.886673507				81.67405897	0	18.32594103				-649.4450902	0.9322764141	-1889.83275687019	
646.8850902	97	0	3	1	0.9309282474	98.13742756	0	1.862572445				81.6700994	0	18.3299006				-646.8850902	0.9309282474	-1908.12027399977	
644.3250902	97	0	3	1	0.9295930203	98.16138272	0	1.838617275				81.66610911	0	18.33389089				-644.3250902	0.9295930203	-1926.64078331482	
641.7650902	97	0	3	1	0.9282706479	98.18519184	0	1.814808162				81.66208826	0	18.33791174				-641.7650902	0.9282706479	-1945.39972237185	
639.2050902	97	0	3	1	0.9269610465	98.20885472	0	1.791145278				81.65803701	0	18.34196299				-639.2050902	0.9269610465	-1964.40275375916	
636.6450902	97	0	3	1	0.9256641342	98.23237119	0	1.767628807				81.6539555	0	18.3460445				-636.6450902	0.9256641342	-1983.65597559572	
634.0850902	97	0	3	1	0.9243798306	98.25574106	0	1.74425894				81.64984388	0	18.35015612				-634.0850902	0.9243798306	-2003.16534113563	
631.5250902	97	0	3	1	0.9231080566	98.27896412	0	1.721035878				81.6457023	0	18.3542977				-631.5250902	0.9231080566	-2022.93719899227	
628.9650902	97	0	3	1	0.9218487348	98.30204017	0	1.697959833				81.64153089	0	18.35846911				-628.9650902	0.9218487348	-2042.97821804781	
626.4050902	97	0	3	1	0.9206017892	98.32496898	0	1.675031023				81.63732979	0	18.36267021				-626.4050902	0.9206017892	-2063.29483542991	
623.8450902	97	0	3	1	0.9193671449	98.34775032	0	1.652249677				81.63309912	0	18.36690088				-623.8450902	0.9193671449	-2083.89408418286	
621.2850902	97	0	3	1	0.9181447288	98.37038397	0	1.62961603				81.62883902	0	18.37116098				-621.2850902	0.9181447288	-2104.7833410404	
618.7250902	97	0	3	1	0.916934469	98.39286967	0	1.607130327				81.62454961	0	18.37545039				-618.7250902	0.916934469	-2125.96976140805	
616.1650902	97	0	3	1	0.9157362948	98.41520718	0	1.584792823				81.62023101	0	18.37976899				-616.1650902	0.9157362948	-2147.46095446387	
613.6050902	97	0	3	1	0.9145501369	98.43739622	0	1.562603776				81.61588332	0	18.38411668				-613.6050902	0.9145501369	-2169.26500703197	
611.0450902	97	0	3	1	0.9133759274	98.45943654	0	1.540563456				81.61150668	0	18.38849332				-611.0450902	0.9133759274	-2191.3899494654	
608.4850902	97	0	3	1	0.9122135994	98.48132786	0	1.51867214				81.60710118	0	18.39289882				-608.4850902	0.9122135994	-2213.84423592526	
605.9250902	97	0	3	1	0.9110630875	98.50306989	0	1.496930109				81.60266694	0	18.39733306				-605.9250902	0.9110630875	-2236.63663538669	
603.3650902	97	0	3	1	0.9099243273	98.52466234	0	1.475337656				81.59820405	0	18.40179595				-603.3650902	0.9099243273	-2259.77598096102	
600.8050902	97	0	3	1	0.9087972556	98.54610492	0	1.453895076				81.59371262	0	18.40628738				-600.8050902	0.9087972556	-2283.27175146851	
598.2450902	97	0	3	1	0.9076818105	98.56739732	0	1.432602676				81.58919274	0	18.41080726				-598.2450902	0.9076818105	-2307.1335932715	
595.6850902	97	0	3	1	0.9065779311	98.58853924	0	1.411460764				81.5846445	0	18.4153555				-595.6850902	0.9065779311	-2331.37133391802	
593.1250902	97	0	3	1	0.9054855576	98.60953034	0	1.390469658				81.58006801	0	18.41993199				-593.1250902	0.9054855576	-2355.99529343438	
