T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
770.3525177	86	9	5	1	0.6879775061	96.63888491	0.1898974278	3.171217662							62.54235303	28.42537001	9.032276954				-770.3525177	0.6879775061	-9973.7915023381	
770.1925177	86	9	5	1	0.6879614876	96.63967881	0.1892399927	3.171081194							62.54235303	28.42537001	9.032276954				-770.1925177	0.6879614876	-10003.2520860776	
770.1125177	86	9	5	1	0.6879534961	96.6400749	0.1889119931	3.171013109							62.54235303	28.42537001	9.032276954				-770.1125177	0.6879534961	-10031.4736189086	
770.112295	86	9	5	1	0.6879534739	96.640076	0.1889110806	3.171012919				81.82011113	0	18.17988887	62.54235303	28.42537001	9.032276954				-770.112295	0.6879534739	-10020.7882334376	
770.0825177	86	9	5	1	0.6879363629	96.64048187	0.1888608565	3.170657278				81.82008606	0	18.17991394	62.54235303	28.42537001	9.032276954				-770.0825177	0.6879363629	-1740.33797792321	
770.0625177	86	9	5	1	0.6879248713	96.64075445	0.1888271286	3.170418422				81.82006921	0	18.17993079	62.54235303	28.42537001	9.032276954				-770.0625177	0.6879248713	-1740.46732537608	
770.0225177	86	9	5	1	0.6879018907	96.64129958	0.1887596852	3.169940734				81.82003552	0	18.17996448	62.54235303	28.42537001	9.032276954				-770.0225177	0.6879018907	-1740.72992766174	
769.9425177	86	9	5	1	0.6878559399	96.64238969	0.1886248482	3.168985462				81.8199681	0	18.1800319	62.54235303	28.42537001	9.032276954				-769.9425177	0.6878559399	-1741.25479715706	
769.7825177	86	9	5	1	0.6877640798	96.6445693	0.1883553734	3.167075331				81.81983311	0	18.18016689	62.54235303	28.42537001	9.032276954				-769.7825177	0.6877640798	-1742.30414244895	
769.4625177	86	9	5	1	0.6875805255	96.64892606	0.18781722	3.163256719				81.81956259	0	18.18043741	62.54235303	28.42537001	9.032276954				-769.4625177	0.6875805255	-1744.40504163507	
768.8225177	86	9	5	1	0.6872140793	96.65762981	0.1867440949	3.155626098				81.81901934	0	18.18098066	62.54235303	28.42537001	9.032276954				-768.8225177	0.6872140793	-1748.61647552042	
767.5425177	86	9	5	1	0.6864838295	96.6749982	0.1846105432	3.140391254				81.81792405	0	18.18207595	62.54235303	28.42537001	9.032276954				-767.5425177	0.6864838295	-1757.07471395602	
764.9825177	86	9	5	1	0.6850338263	96.709579	0.180393999	3.110026999				81.81569859	0	18.18430141	62.54235303	28.42537001	9.032276954				-764.9825177	0.6850338263	-1774.08331945345	
762.4225177	86	9	5	1	0.6835976986	96.7439525	0.1762444318	3.079803073				81.81342706	0	18.18657294	62.54235303	28.42537001	9.032276954				-762.4225177	0.6835976986	-1791.21408281216	
759.8625177	86	9	5	1	0.682175298	96.7781195	0.1721613154	3.049719188				81.81111	0	18.18889	62.54235303	28.42537001	9.032276954				-759.8625177	0.682175298	-1808.49175653548	
757.3025177	86	9	5	1	0.6807664799	96.8120808	0.1681441238	3.019775073				81.80874792	0	18.19125208	62.54235303	28.42537001	9.032276954				-757.3025177	0.6807664799	-1825.91937040212	
754.7425177	86	9	5	1	0.6793711023	96.8458372	0.1641923313	2.989970472				81.80634134	0	18.19365866	62.54235303	28.42537001	9.032276954				-754.7425177	0.6793711023	-1843.4992227507	
752.1825177	86	9	5	1	0.6779890256	96.87938945	0.1603054114	2.960305143				81.80389074	0	18.19610926	62.54235303	28.42537001	9.032276954				-752.1825177	0.6779890256	-1861.23380958313	
749.6225177	86	9	5	1	0.6766201129	96.9127383	0.1564828373	2.930778863				81.80139661	0	18.19860339	62.54235303	28.42537001	9.032276954				-749.6225177	0.6766201129	-1879.12582490596	
747.0625177	86	9	5	1	0.6752642298	96.9458845	0.1527240818	2.901391422				81.79885943	0	18.20114057	62.54235303	28.42537001	9.032276954				-747.0625177	0.6752642298	-1897.17790056391	
744.5025177	86	9	5	1	0.6739212443	96.97882876	0.1490286165	2.872142626				81.79627966	0	18.20372034	62.54235303	28.42537001	9.032276954				-744.5025177	0.6739212443	-1915.39251770808	
741.9425177	86	9	5	1	0.6725910265	97.01157179	0.1453959125	2.843032295				81.79365775	0	18.20634225	62.54235303	28.42537001	9.032276954				-741.9425177	0.6725910265	-1933.77258697225	
739.3825177	86	9	5	1	0.6712734493	97.0441143	0.1418254397	2.814060264				81.79099414	0	18.20900586	62.54235303	28.42537001	9.032276954				-739.3825177	0.6712734493	-1952.32100057929	
736.8225177	86	9	5	1	0.6699683875	97.07645695	0.1383166671	2.785226384				81.78828926	0	18.21171074	62.54235303	28.42537001	9.032276954				-736.8225177	0.6699683875	-1971.04059250315	
734.2625177	86	9	5	1	0.6686757184	97.10860042	0.1348690623	2.756530521				81.78554354	0	18.21445646	62.54235303	28.42537001	9.032276954				-734.2625177	0.6686757184	-1989.93439697372	
