T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	w(AL@ALLI)	w(CU@ALLI)	w(LI@ALLI)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
604.7506084	97	1	2	1	0.9506229352	98.48667335	0.02758259763	1.485744057				62.54235303	28.42537001	9.032276954	81.60047111	0	18.39952889				-604.7506084	0.9506229352	-2086.98727416145	
602.1906084	97	1	2	1	0.9494025576	98.50918646	0.02652839311	1.464285151				62.54235303	28.42537001	9.032276954	81.59600167	0	18.40399833				-602.1906084	0.9494025576	-2108.70873511741	
599.6306084	97	1	2	1	0.9481947783	98.53152129	0.02550522542	1.442973486				62.54235303	28.42537001	9.032276954	81.5915035	0	18.4084965				-599.6306084	0.9481947783	-2130.75551925427	
597.0706084	97	1	2	1	0.9469995235	98.55367803	0.02451251048	1.421809458				62.54235303	28.42537001	9.032276954	81.58697671	0	18.41302329				-597.0706084	0.9469995235	-2153.13590647815	
594.5106084	97	1	2	1	0.9458167209	98.57565686	0.02354966612	1.400793471				62.54235303	28.42537001	9.032276954	81.58242138	0	18.41757862				-594.5106084	0.9458167209	-2175.85865430697	
591.9506084	97	1	2	1	0.9446462992	98.59745796	0.02261611224	1.379925931				62.54235303	28.42537001	9.032276954	81.57783762	0	18.42216238				-591.9506084	0.9446462992	-2198.9326916729	
589.3906084	97	1	2	1	0.9434881884	98.61908148	0.02171127098	1.359207248				62.54235303	28.42537001	9.032276954	81.57322553	0	18.42677447				-589.3906084	0.9434881884	-2222.36728170195	
586.8306084	97	1	2	1	0.9423423195	98.6405276	0.02083456691	1.338637837				62.54235303	28.42537001	9.032276954	81.56858518	0	18.43141482				-586.8306084	0.9423423195	-2246.17216266505	
584.2706084	97	1	2	1	0.9412086249	98.66179646	0.01998542721	1.318218117				62.54235303	28.42537001	9.032276954	81.56391666	0	18.43608334				-584.2706084	0.9412086249	-2270.35723936532	
581.7106084	97	1	2	1	0.9400870378	98.68288821	0.01916328183	1.297948509				62.54235303	28.42537001	9.032276954	81.55922008	0	18.44077992				-581.7106084	0.9400870378	-2294.93262194022	
