T	w(AL)	w(CU)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(CU@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(CU@LIQUID)	w(LI@LIQUID)	w(AL@ALCULI_TB)	w(CU@ALCULI_TB)	w(LI@ALCULI_TB)	w(AL@ALCULI_T1)	w(CU@ALCULI_T1)	w(LI@ALCULI_T1)	w(AL@ALCULI_T2)	w(CU@ALCULI_T2)	w(LI@ALCULI_T2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
749.8330741	92	7	1	1	0.9079578618	96.90024105	2.150197055	0.9495618935				43.66113616	54.84131265	1.497551188										-749.8330741	0.9079578618	-2496.01511015497	
749.6730741	92	7	1	1	0.9078938121	96.90399693	2.146479838	0.9495232334				43.66113616	54.84131265	1.497551188										-749.6730741	0.9078938121	-2500.20530467346	
749.6568196	92	7	1	1	0.9078873114	96.90437817	2.146102519	0.9495193103				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.6568196	0.9078873114	-2516.40814171206	
749.6430741	92	7	1	1	0.9078818779	96.90470102	2.145840097	0.9494588859				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.6430741	0.9078818779	-2529.88114996246	
749.6230741	92	7	1	1	0.9078739729	96.90517072	2.145458314	0.9493709681				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.6230741	0.9078739729	-2530.23104414847	
749.5830741	92	7	1	1	0.9078581664	96.90610995	2.144694917	0.9491951371				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.5830741	0.9078581664	-2530.96497737213	
749.5030741	92	7	1	1	0.9078265669	96.9079877	2.143168804	0.9488434941				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.5030741	0.9078265669	-2532.41039523141	
749.3430741	92	7	1	1	0.9077634221	96.91174042	2.140119299	0.9481402842				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.3430741	0.9077634221	-2535.31077569654	
749.0230741	92	7	1	1	0.907637349	96.91923468	2.13403115	0.9467341698				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-749.0230741	0.907637349	-2541.12233941503	
748.3830741	92	7	1	1	0.9073860658	96.93417864	2.121898188	0.9439231759				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-748.3830741	0.9073860658	-2552.7906136571	
747.1030741	92	7	1	1	0.906886931	96.96388914	2.097804625	0.9383062314				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-747.1030741	0.906886931	-2576.31819962403	
744.5430741	92	7	1	1	0.9059022235	97.02260729	2.050299377	0.9270933335				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-744.5430741	0.9059022235	-2623.86531741728	
741.9830741	92	7	1	1	0.9049352877	97.08040097	2.003689078	0.9159099481				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-741.9830741	0.9049352877	-2672.03508157836	
739.4230741	92	7	1	1	0.9039857646	97.137285	1.957957129	0.9047578703				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-739.4230741	0.9039857646	-2720.98377949447	
736.8630741	92	7	1	1	0.9030533059	97.19327375	1.913087395	0.8936388509				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-736.8630741	0.9030533059	-2770.73230583448	
734.3030741	92	7	1	1	0.9021375749	97.24838121	1.869064194	0.8825545987				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-734.3030741	0.9021375749	-2821.30267829996	
731.7430741	92	7	1	1	0.901238245	97.30262095	1.825872272	0.8715067816				43.66113616	54.84131265	1.497551188	43.36164434	51.06106018	5.577295482							-731.7430741	0.901238245	-2872.71734163971	
