T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@ALMG_BETA)	w(MG@ALMG_BETA)	w(SI@ALMG_BETA)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
794.037355	97	3	0	1	1	97	3	0										-794.037355	1	NaN	
793.957355	97	3	0	1	1	97	3	0										-793.957355	1	NaN	
793.877355	97	3	0	1	1	97	3	0										-793.877355	1	NaN	
793.797355	97	3	0	1	1	97	3	0										-793.797355	1	NaN	
793.717355	97	3	0	1	1	97	3	0										-793.717355	1	NaN	
793.637355	97	3	0	1	1	97	3	0										-793.637355	1	NaN	
793.557355	97	3	0	1	1	97	3	0										-793.557355	1	NaN	
793.477355	97	3	0	1	1	97	3	0										-793.477355	1	NaN	
793.397355	97	3	0	1	1	97	3	0										-793.397355	1	NaN	
793.317355	97	3	0	1	1	97	3	0										-793.317355	1	NaN	
793.237355	97	3	0	1	1	97	3	0										-793.237355	1	NaN	
793.157355	97	3	0	1	1	97	3	0										-793.157355	1	NaN	
793.077355	97	3	0	1	1	97	3	0										-793.077355	1	NaN	
792.997355	97	3	0	1	1	97	3	0										-792.997355	1	NaN	
792.917355	97	3	0	1	1	97	3	0										-792.917355	1	NaN	
792.837355	97	3	0	1	1	97	3	0										-792.837355	1	NaN	
792.757355	97	3	0	1	1	97	3	0										-792.757355	1	NaN	
792.677355	97	3	0	1	1	97	3	0										-792.677355	1	NaN	
792.597355	97	3	0	1	1	97	3	0										-792.597355	1	NaN	
792.517355	97	3	0	1	1	97	3	0										-792.517355	1	NaN	
792.437355	97	3	0	1	1	97	3	0										-792.437355	1	NaN	
792.357355	97	3	0	1	1	97	3	0										-792.357355	1	NaN	
792.277355	97	3	0	1	1	97	3	0										-792.277355	1	NaN	
792.197355	97	3	0	1	1	97	3	0										-792.197355	1	NaN	
792.117355	97	3	0	1	1	97	3	0										-792.117355	1	NaN	
792.037355	97	3	0	1	1	97	3	0										-792.037355	1	NaN	
791.957355	97	3	0	1	1	97	3	0										-791.957355	1	NaN	
791.877355	97	3	0	1	1	97	3	0										-791.877355	1	NaN	
791.797355	97	3	0	1	1	97	3	0										-791.797355	1	NaN	
791.717355	97	3	0	1	1	97	3	0										-791.717355	1	NaN	
791.637355	97	3	0	1	1	97	3	0										-791.637355	1	NaN	
791.557355	97	3	0	1	1	97	3	0										-791.557355	1	NaN	
791.477355	97	3	0	1	1	97	3	0										-791.477355	1	NaN	
791.397355	97	3	0	1	1	97	3	0										-791.397355	1	NaN	
791.317355	97	3	0	1	1	97	3	0										-791.317355	1	NaN	
791.237355	97	3	0	1	1	97	3	0										-791.237355	1	NaN	
791.157355	97	3	0	1	1	97	3	0										-791.157355	1	NaN	
791.077355	97	3	0	1	1	97	3	0										-791.077355	1	NaN	
790.997355	97	3	0	1	1	97	3	0										-790.997355	1	NaN	
790.917355	97	3	0	1	1	97	3	0										-790.917355	1	NaN	
790.837355	97	3	0	1	1	97	3	0										-790.837355	1	NaN	
790.757355	97	3	0	1	1	97	3	0										-790.757355	1	NaN	
790.677355	97	3	0	1	1	97	3	0										-790.677355	1	NaN	
790.597355	97	3	0	1	1	97	3	0										-790.597355	1	NaN	
790.517355	97	3	0	1	1	97	3	0										-790.517355	1	NaN	
790.437355	97	3	0	1	1	97	3	0										-790.437355	1	NaN	
790.357355	97	3	0	1	1	97	3	0										-790.357355	1	NaN	
790.277355	97	3	0	1	1	97	3	0										-790.277355	1	NaN	
790.197355	97	3	0	1	1	97	3	0										-790.197355	1	NaN	
790.117355	97	3	0	1	1	97	3	0										-790.117355	1	NaN	
790.037355	97	3	0	1	1	97	3	0										-790.037355	1	NaN	
789.957355	97	3	0	1	1	97	3	0										-789.957355	1	NaN	
789.877355	97	3	0	1	1	97	3	0										-789.877355	1	NaN	
789.797355	97	3	0	1	1	97	3	0										-789.797355	1	NaN	
789.717355	97	3	0	1	1	97	3	0										-789.717355	1	NaN	
789.637355	97	3	0	1	1	97	3	0										-789.637355	1	NaN	
789.557355	97	3	0	1	1	97	3	0										-789.557355	1	NaN	
789.477355	97	3	0	1	1	97	3	0										-789.477355	1	NaN	
789.397355	97	3	0	1	1	97	3	0										-789.397355	1	NaN	
789.317355	97	3	0	1	1	97	3	0										-789.317355	1	NaN	
789.237355	97	3	0	1	1	97	3	0										-789.237355	1	NaN	
789.157355	97	3	0	1	1	97	3	0										-789.157355	1	NaN	
789.077355	97	3	0	1	1	97	3	0										-789.077355	1	NaN	
788.997355	97	3	0	1	1	97	3	0										-788.997355	1	NaN	
788.917355	97	3	0	1	1	97	3	0										-788.917355	1	NaN	
788.837355	97	3	0	1	1	97	3	0										-788.837355	1	NaN	
788.757355	97	3	0	1	1	97	3	0										-788.757355	1	NaN	
788.677355	97	3	0	1	1	97	3	0										-788.677355	1	NaN	
788.597355	97	3	0	1	1	97	3	0										-788.597355	1	NaN	
788.517355	97	3	0	1	1	97	3	0										-788.517355	1	NaN	
788.437355	97	3	0	1	1	97	3	0										-788.437355	1	NaN	
788.357355	97	3	0	1	1	97	3	0										-788.357355	1	NaN	
788.277355	97	3	0	1	1	97	3	0										-788.277355	1	NaN	
788.197355	97	3	0	1	1	97	3	0										-788.197355	1	NaN	
788.117355	97	3	0	1	1	97	3	0										-788.117355	1	NaN	
788.037355	97	3	0	1	1	97	3	0										-788.037355	1	NaN	
787.957355	97	3	0	1	1	97	3	0										-787.957355	1	NaN	
