T	w(AL)	w(LI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(LI@FCC_A1)	w(AL@LIQUID)	w(LI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(LI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(LI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
614.533654	91	9	0.8205730382	0.01484057233	87.14165691	12.85834309	80.16830353	19.83169647	0.1038930977	-0.1038930977	0	0	-614.533654	0.01484057233	-172529.805067373	
611.973654	91	9	0.8228972163	0.01482660891	87.0497842	12.9502158	80.06473903	19.93526097	0.103969389	-0.103969389	0	0	-611.973654	0.01482660891	-200053.47467585	
609.413654	91	9	0.8251895284	0.01481466593	86.95748133	13.04251867	79.96108986	20.03891014	0.1040544035	-0.1040544035	0	0	-609.413654	0.01481466593	-238214.334605861	
606.853654	91	9	0.8274507584	0.01480474487	86.86473813	13.13526187	79.85734726	20.14265274	0.1041482148	-0.1041482148	0	0	-606.853654	0.01480474487	-294887.70217623	
604.293654	91	9	0.8296816673	0.01479684891	86.77154424	13.22845576	79.75350239	20.24649761	0.1042509002	-0.1042509002	0	0	-604.293654	0.01479684891	-388592.002511164	
601.733654	91	9	0.8318829935	0.01479098296	86.6778891	13.3221109	79.64954632	20.35045368	0.1043625432	-0.1043625432	0	0	-601.733654	0.01479098296	-576851.589675224	
599.173654	91	9	0.8340554542	0.01478715365	86.58376194	13.41623806	79.54547005	20.45452995	0.1044832337	-0.1044832337	0	0	-599.173654	0.01478715365	-1191201.41704678	
596.613654	91	9	0.8361997459	0.01478536936	86.48915175	13.51084825	79.44126446	20.55873554	0.1046130686	-0.1046130686	0	0	-596.613654	0.01478536936	11399676.5574581	
594.053654	91	9	0.8383165454	0.01478564022	86.39404734	13.60595266	79.33692035	20.66307965	0.1047521506	-0.1047521506	0	0	-594.053654	0.01478564022	8583787.01995671	
591.493654	91	9	0.8404065106	0.01478797822	86.29843723	13.70156277	79.23242839	20.76757161	0.1049005897	-0.1049005897	0	0	-591.493654	0.01478797822	916538.712848078	
588.933654	91	9	0.842470281	0.01479239712	86.20230975	13.79769025	79.12777915	20.87222085	0.1050585029	-0.1050585029	0	0	-588.933654	0.01479239712	503992.438046245	
586.373654	91	9	0.8445084784	0.01479891259	86.10565292	13.89434708	79.02296306	20.97703694	0.1052260146	-0.1052260146	0	0	-586.373654	0.01479891259	351500.960729908	
583.813654	91	9	0.846521708	0.01480754216	86.00845454	13.99154546	78.91797045	21.08202955	0.1054032567	-0.1054032567	0	0	-583.813654	0.01480754216	270485.886486595	
581.253654	91	9	0.8485105585	0.01481830537	85.9107021	14.0892979	78.81279146	21.18720854	0.1055903687	-0.1055903687	0	0	-581.253654	0.01481830537	219813.008798589	
578.693654	91	9	0.8504756031	0.01483122372	85.81238283	14.18761717	78.70741613	21.29258387	0.1057874982	-0.1057874982	0	0	-578.693654	0.01483122372	184980.600527741	
576.133654	91	9	0.8524173999	0.01484632078	85.71348365	14.28651635	78.60183433	21.39816567	0.105994801	-0.105994801	0	0	-576.133654	0.01484632078	159501.883948829	
573.573654	91	9	0.8543364926	0.01486362225	85.61399117	14.38600883	78.49603575	21.50396425	0.1062124413	-0.1062124413	0	0	-573.573654	0.01486362225	140022.184367197	
571.013654	91	9	0.8562334108	0.01488315598	85.51389168	14.48610832	78.39000992	21.60999008	0.1064405923	-0.1064405923	0	0	-571.013654	0.01488315598	124626.024432934	
568.453654	91	9	0.858108671	0.01490495211	85.41317113	14.58682887	78.2837462	21.7162538	0.1066794363	-0.1066794363	0	0	-568.453654	0.01490495211	112137.725830717	
565.893654	91	9	0.8599627765	0.01492904308	85.31181512	14.68818488	78.17723375	21.82276625	0.1069291652	-0.1069291652	0	0	-565.893654	0.01492904308	101794.907570001	
563.333654	91	9	0.8617962183	0.01495546377	85.2098089	14.7901911	78.07046151	21.92953849	0.1071899805	-0.1071899805	0	0	-563.333654	0.01495546377	93080.9739434579	
560.773654	91	9	0.8636094756	0.01498425156	85.10713732	14.89286268	77.96341825	22.03658175	0.1074620944	-0.1074620944	0	0	-560.773654	0.01498425156	85633.3878095149	
558.213654	91	9	0.865403016	0.01501544641	85.00378486	14.99621514	77.85609247	22.14390753	0.1077457295	-0.1077457295	0	0	-558.213654	0.01501544641	79190.0215176203	
555.653654	91	9	0.8671772959	0.01504909102	84.89973557	15.10026443	77.74847247	22.25152753	0.1080411198	-0.1080411198	0	0	-555.653654	0.01504909102	73556.5806258057	
553.093654	91	9	0.8689327613	0.01508523091	84.79497308	15.20502692	77.6405463	22.3594537	0.1083485108	-0.1083485108	0	0	-553.093654	0.01508523091	68586.045050861	
550.533654	91	9	0.8706698479	0.01512391453	84.68948056	15.31051944	77.53230175	22.46769825	0.1086681602	-0.1086681602	0	0	-550.533654	0.01512391453	64165.0393847488	
547.973654	91	9	0.8723889816	0.01516519343	84.58324074	15.41675926	77.42372634	22.57627366	0.1090003385	-0.1090003385	0	0	-547.973654	0.01516519343	60204.722824465	
545.413654	91	9	0.8740905787	0.01520912237	84.47623586	15.52376414	77.31480731	22.68519269	0.1093453297	-0.1093453297	0	0	-545.413654	0.01520912237	56634.5005936274	
542.853654	91	9	0.8757750466	0.01525575951	84.36844762	15.63155238	77.20553159	22.79446841	0.1097034313	-0.1097034313	0	0	-542.853654	0.01525575951	53397.5616848053	
540.293654	91	9	0.8774427838	0.01530516653	84.25985724	15.74014276	77.09588583	22.90411417	0.110074956	-0.110074956	0	0	-540.293654	0.01530516653	50447.6727961982	
537.733654	91	9	0.8790941806	0.01535740886	84.15044535	15.84955465	76.98585631	23.01414369	0.1104602315	-0.1104602315	0	0	-537.733654	0.01535740886	47746.8214398561	
535.173654	91	9	0.8807296191	0.01541255581	84.04019202	15.95980798	76.875429	23.124571	0.1108596017	-0.1108596017	0	0	-535.173654	0.01541255581	45263.4655353099	
532.613654	91	9	0.8823494738	0.01547068086	83.92907672	16.07092328	76.76458951	23.23541049	0.1112734277	-0.1112734277	0	0	-532.613654	0.01547068086	42971.2053200003	
530.053654	91	9	0.8839541116	0.01553186181	83.81707829	16.18292171	76.65332306	23.34667694	0.1117020881	-0.1117020881	0	0	-530.053654	0.01553186181	40847.8014402642	
527.493654	91	9	0.8855438925	0.01559618106	83.70417491	16.29582509	76.54161447	23.45838553	0.1121459807	-0.1121459807	0	0	-527.493654	0.01559618106	38874.3669538771	
524.933654	91	9	0.8871191697	0.01566372584	83.59034405	16.40965595	76.42944816	23.57055184	0.1126055228	-0.1126055228	0	0	-524.933654	0.01566372584	37034.7608770752	
522.373654	91	9	0.8886802897	0.01573458854	83.4755625	16.5244375	76.3168081	23.6831919	0.1130811558	-0.1130811558	0	0	-522.373654	0.01573458854	35315.1044540567	
519.813654	91	9	0.8902275929	0.01580886698	83.35980626	16.64019374	76.20367782	23.79632218	0.1135733343	-0.1135733343	0	0	-519.813654	0.01580886698	33703.4185944716	
