T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1713.329535	6	8	86	0.05425973718	0.0004722943721	2.740198917	3.288657047	93.97114404	6.186706504	8.27016122	85.54313228							0	0	0	-1713.329535	0.0004722943721	-471577.576358812	
1713.249535	6	8	86	0.05471340346	0.0004721247936	2.74102187	3.289954906	93.96902322	6.188334066	8.272513608	85.53915233							0	0	0	-1713.249535	0.0004721247936	-471936.163613957	
1713.169535	6	8	86	0.05516669102	0.0004719553431	2.741844726	3.291252902	93.96690237	6.189961423	8.27486565	85.53517293							0	0	0	-1713.169535	0.0004719553431	-472292.372122167	
1713.089535	6	8	86	0.05561960032	0.0004717860203	2.742667485	3.292551033	93.96478148	6.191588575	8.277217346	85.53119408							0	0	0	-1713.089535	0.0004717860203	-472653.594851227	
1713.009535	6	8	86	0.05607213183	0.0004716168287	2.743490148	3.293849301	93.96266055	6.193215524	8.279568694	85.52721578							0	0	0	-1713.009535	0.0004716168287	-473016.335938947	
1712.929535	6	8	86	0.05652428599	0.0004714477655	2.744312715	3.295147705	93.96053958	6.194842268	8.281919696	85.52323804							0	0	0	-1712.929535	0.0004714477655	-473371.931647464	
1712.849535	6	8	86	0.05697606327	0.000471278828	2.745135186	3.296446245	93.95841857	6.196468808	8.284270351	85.51926084							0	0	0	-1712.849535	0.000471278828	-473731.304780002	
1712.769535	6	8	86	0.05742746411	0.0004711100212	2.74595756	3.297744922	93.95629752	6.198095145	8.28662066	85.5152842							0	0	0	-1712.769535	0.0004711100212	-474092.18746076	
1712.689535	6	8	86	0.05787848898	0.0004709413408	2.746779838	3.299043735	93.95417643	6.199721277	8.288970622	85.5113081							0	0	0	-1712.689535	0.0004709413408	-474450.679781565	
1712.609535	6	8	86	0.05832913833	0.000470772789	2.747602019	3.300342685	93.9520553	6.201347206	8.291320238	85.50733256							0	0	0	-1712.609535	0.000470772789	-474811.539802184	
1712.529535	6	8	86	0.0587794126	0.0004706043649	2.748424104	3.301641771	93.94993413	6.202972932	8.293669507	85.50335756							0	0	0	-1712.529535	0.0004706043649	-475174.083713249	
1712.449535	6	8	86	0.05922931227	0.0004704360702	2.749246092	3.302940994	93.94781291	6.204598454	8.29601843	85.49938312							0	0	0	-1712.449535	0.0004704360702	-475533.069526381	
1712.369535	6	8	86	0.05967883776	0.0004702679003	2.750067984	3.304240354	93.94569166	6.206223773	8.298367007	85.49540922							0	0	0	-1712.369535	0.0004702679003	-475891.058453553	
1712.289535	6	8	86	0.06012798954	0.0004700998587	2.750889779	3.30553985	93.94357037	6.207848889	8.300715237	85.49143587							0	0	0	-1712.289535	0.0004700998587	-476255.250817055	
1712.209535	6	8	86	0.06057676806	0.0004699319459	2.751711478	3.306839483	93.94144904	6.209473801	8.303063122	85.48746308							0	0	0	-1712.209535	0.0004699319459	-476617.012790937	
1712.129535	6	8	86	0.06102517376	0.0004697641593	2.752533081	3.308139253	93.93932767	6.211098511	8.30541066	85.48349083							0	0	0	-1712.129535	0.0004697641593	-476974.066943181	
