T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@BCC_B2#3)	w(FE@BCC_B2#3)	w(TI@BCC_B2#3)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
620.7890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-620.7890502			
620.6290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-620.6290502			
620.4690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-620.4690502			
620.3090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-620.3090502			
620.1490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-620.1490502			
619.9890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.9890502			
619.8290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.8290502			
619.6690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.6690502			
619.5090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.5090502			
619.3490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.3490502			
619.1890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.1890502			
619.0290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-619.0290502			
618.8690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.8690502			
618.7090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.7090502			
618.5490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.5490502			
618.3890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.3890502			
618.2290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.2290502			
618.0690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-618.0690502			
617.9090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.9090502			
617.7490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.7490502			
617.5890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.5890502			
617.4290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.4290502			
617.2690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.2690502			
617.1090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-617.1090502			
616.9490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.9490502			
616.7890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.7890502			
616.6290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.6290502			
616.4690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.4690502			
616.3090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.3090502			
616.1490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-616.1490502			
615.9890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.9890502			
615.8290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.8290502			
615.6690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.6690502			
615.5090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.5090502			
615.3490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.3490502			
615.1890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.1890502			
615.0290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-615.0290502			
614.8690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.8690502			
614.7090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.7090502			
614.5490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.5490502			
614.3890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.3890502			
614.2290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.2290502			
614.0690502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-614.0690502			
613.9090502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.9090502			
613.7490502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.7490502			
613.5890502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.5890502			
613.4290502	15	5	80	1											35.69049305	5.730220998	58.57928595				38.941652	0.8750999835	60.18324801				-613.4290502			
