T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	SI	SI				
1918.824997	1	99	0.6797365967	0.005641888803	0.7577797863	99.24222021	2.048808797	97.9511912			0	0	-1918.824997	0.005641888803	-3917.24556090088	
1918.744997	1	99	0.6815427162	0.005621539504	0.7605295842	99.23947042	2.05609185	97.94390815			0	0	-1918.744997	0.005621539504	-3945.5833517913	
1918.664997	1	99	0.6833322158	0.005601336082	0.7632794665	99.23672053	2.063374116	97.93662588			0	0	-1918.664997	0.005601336082	-3974.02219407648	
1918.584997	1	99	0.6851053072	0.005581276993	0.766029433	99.23397057	2.070655594	97.92934441			0	0	-1918.584997	0.005581276993	-4002.56312340446	
1918.504997	1	99	0.6868621988	0.005561360677	0.7687794835	99.23122052	2.077936286	97.92206371			0	0	-1918.504997	0.005561360677	-4031.20520752196	
1918.424997	1	99	0.6886030955	0.005541585624	0.7715296179	99.22847038	2.085216191	97.91478381			0	0	-1918.424997	0.005541585624	-4059.95330261639	
1918.344997	1	99	0.6903281988	0.005521950365	0.774279836	99.22572016	2.09249531	97.90750469			0	0	-1918.344997	0.005521950365	-4088.80173516158	
1918.264997	1	99	0.6920377073	0.005502453378	0.7770301376	99.22296986	2.099773643	97.90022636			0	0	-1918.264997	0.005502453378	-4117.7481966837	
1918.184997	1	99	0.693731816	0.005483093213	0.7797805225	99.22021948	2.10705119	97.89294881			0	0	-1918.184997	0.005483093213	-4146.79975836256	
1918.104997	1	99	0.695410717	0.005463868457	0.7825309906	99.21746901	2.114327952	97.88567205			0	0	-1918.104997	0.005463868457	-4175.95535126562	
1918.024997	1	99	0.6970745994	0.00544477769	0.7852815416	99.21471846	2.121603929	97.87839607			0	0	-1918.024997	0.00544477769	-4205.21203877326	
1917.944997	1	99	0.6987236493	0.005425819511	0.7880321754	99.21196782	2.128879121	97.87112088			0	0	-1917.944997	0.005425819511	-4234.56796235425	
1917.864997	1	99	0.7003580496	0.005406992523	0.7907828919	99.20921711	2.136153529	97.86384647			0	0	-1917.864997	0.005406992523	-4264.02900445994	
