T	w(CU)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(TI@LIQUID)	w(CU@CUTI2)	w(TI@CUTI2)	w(CU@CUTI)	w(TI@CUTI)	dwdT_L(CU@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	SI	SI				
1899.35362	3	97	0.3160105337	0.002996048121	1.429137496	98.5708625	3.798851891	96.20114811					0	0	-1899.35362	0.002996048121	-13824.3948769764	
1899.27362	3	97	0.3180678957	0.00299027233	1.431902763	98.56809724	3.805950941	96.19404906					0	0	-1899.27362	0.00299027233	-13877.5636075943	
1899.19362	3	97	0.3201151448	0.002984518635	1.434668074	98.56533193	3.813049263	96.18695074					0	0	-1899.19362	0.002984518635	-13930.8132469573	
1899.11362	3	97	0.32215235	0.002978786915	1.437433428	98.56256657	3.820146858	96.17985314					0	0	-1899.11362	0.002978786915	-13984.1785525668	
1899.03362	3	97	0.3241795795	0.00297307705	1.440198825	98.55980118	3.827243726	96.17275627					0	0	-1899.03362	0.00297307705	-14037.6326349848	
1898.95362	3	97	0.3261969011	0.002967388899	1.442964264	98.55703574	3.834339867	96.16566013					0	0	-1898.95362	0.002967388899	-14091.1982347445	
1898.87362	3	97	0.328204382	0.002961722362	1.445729746	98.55427025	3.841435281	96.15856472					0	0	-1898.87362	0.002961722362	-14144.8774729703	
1898.79362	3	97	0.3302020886	0.002956077302	1.44849527	98.55150473	3.848529969	96.15147003					0	0	-1898.79362	0.002956077302	-14198.642310225	
1898.71362	3	97	0.3321900871	0.002950453598	1.451260837	98.54873916	3.85562393	96.14437607					0	0	-1898.71362	0.002950453598	-14252.5191345202	
1898.63362	3	97	0.3341684427	0.002944851136	1.454026445	98.54597355	3.862717165	96.13728284					0	0	-1898.63362	0.002944851136	-14306.4902276596	
1898.55362	3	97	0.3361372204	0.002939269783	1.456792096	98.5432079	3.869809674	96.13019033					0	0	-1898.55362	0.002939269783	-14360.5495473524	
1898.47362	3	97	0.3380964844	0.002933709422	1.459557788	98.54044221	3.876901457	96.12309854					0	0	-1898.47362	0.002933709422	-14414.7373112567	
1898.39362	3	97	0.3400462985	0.002928169953	1.462323521	98.53767648	3.883992515	96.11600748					0	0	-1898.39362	0.002928169953	-14469.0224531688	
1898.31362	3	97	0.3419867259	0.002922651237	1.465089297	98.5349107	3.891082848	96.10891715					0	0	-1898.31362	0.002922651237	-14523.3820618438	
1898.23362	3	97	0.3439178292	0.002917153158	1.467855113	98.53214489	3.898172455	96.10182755					0	0	-1898.23362	0.002917153158	-14577.8756284112	
1898.15362	3	97	0.3458396706	0.002911675624	1.47062097	98.52937903	3.905261337	96.09473866					0	0	-1898.15362	0.002911675624	-14632.4619808468	
1898.07362	3	97	0.3477523117	0.00290621849	1.473386869	98.52661313	3.912349495	96.0876505					0	0	-1898.07362	0.00290621849	-14687.1505310687	
1897.99362	3	97	0.3496558135	0.002900781672	1.476152808	98.52384719	3.919436928	96.08056307					0	0	-1897.99362	0.002900781672	-14741.9308961868	
1897.91362	3	97	0.3515502366	0.00289536502	1.478918788	98.52108121	3.926523637	96.07347636					0	0	-1897.91362	0.00289536502	-14796.806024249	
1897.83362	3	97	0.353435641	0.002889968453	1.481684808	98.51831519	3.933609622	96.06639038					0	0	-1897.83362	0.002889968453	-14851.8137062456	
1897.75362	3	97	0.3553120863	0.002884591851	1.484450869	98.51554913	3.940694883	96.05930512					0	0	-1897.75362	0.002884591851	-14906.8943710913	
1897.67362	3	97	0.3571796315	0.002879235091	1.487216969	98.51278303	3.94777942	96.05222058					0	0	-1897.67362	0.002879235091	-14962.0789683382	
1897.59362	3	97	0.3590383351	0.002873898077	1.48998311	98.51001689	3.954863234	96.04513677					0	0	-1897.59362	0.002873898077	-15017.395932263	
1897.51362	3	97	0.3608882551	0.002868580708	1.49274929	98.50725071	3.961946324	96.03805368					0	0	-1897.51362	0.002868580708	-15072.796557676	
1897.43362	3	97	0.3627294492	0.002863282855	1.49551551	98.50448449	3.969028692	96.03097131					0	0	-1897.43362	0.002863282855	-15128.2744234684	
1897.35362	3	97	0.3645619744	0.002858004414	1.49828177	98.50171823	3.976110336	96.02388966					0	0	-1897.35362	0.002858004414	-15183.882787753	
1897.27362	3	97	0.3663858873	0.002852745295	1.501048069	98.49895193	3.983191258	96.01680874					0	0	-1897.27362	0.002852745295	-15239.5802371746	
1897.19362	3	97	0.3682012439	0.002847505367	1.503814407	98.49618559	3.990271457	96.00972854					0	0	-1897.19362	0.002847505367	-15295.3739359892	
1897.11362	3	97	0.3700081001	0.002842284546	1.506580784	98.49341922	3.997350934	96.00264907					0	0	-1897.11362	0.002842284546	-15351.2946095758	
1897.03362	3	97	0.3718065109	0.002837082724	1.509347199	98.4906528	4.004429689	95.99557031					0	0	-1897.03362	0.002837082724	-15407.3052035293	
1896.95362	3	97	0.3735965311	0.002831899793	1.512113654	98.48788635	4.011507722	95.98849228					0	0	-1896.95362	0.002831899793	-15463.4047032825	
1896.87362	3	97	0.375378215	0.002826735646	1.514880147	98.48511985	4.018585034	95.98141497					0	0	-1896.87362	0.002826735646	-15519.6117800405	
1896.79362	3	97	0.3771516164	0.002821590189	1.517646679	98.48235332	4.025661623	95.97433838					0	0	-1896.79362	0.002821590189	-15575.9240271015	
1896.71362	3	97	0.3789167886	0.002816463315	1.520413248	98.47958675	4.032737492	95.96726251					0	0	-1896.71362	0.002816463315	-15632.3411002939	
1896.63362	3	97	0.3806737848	0.002811354931	1.523179856	98.47682014	4.039812639	95.96018736					0	0	-1896.63362	0.002811354931	-15688.852766507	
1896.55362	3	97	0.3824226573	0.002806264925	1.525946501	98.4740535	4.046887066	95.95311293					0	0	-1896.55362	0.002806264925	-15745.4773463907	
1896.47362	3	97	0.3841634582	0.002801193217	1.528713185	98.47128682	4.053960772	95.94603923					0	0	-1896.47362	0.002801193217	-15802.1932670196	
1896.39362	3	97	0.3858962393	0.002796139683	1.531479906	98.46852009	4.061033757	95.93896624					0	0	-1896.39362	0.002796139683	-15858.9927352075	
1896.31362	3	97	0.3876210517	0.002791104239	1.534246664	98.46575334	4.068106022	95.93189398					0	0	-1896.31362	0.002791104239	-15915.9391971932	
1896.23362	3	97	0.3893379462	0.002786086803	1.537013459	98.46298654	4.075177567	95.92482243					0	0	-1896.23362	0.002786086803	-15972.9590949244	
1896.15362	3	97	0.3910469733	0.002781087246	1.539780292	98.46021971	4.082248392	95.91775161					0	0	-1896.15362	0.002781087246	-16030.0717057516	
1896.07362	3	97	0.3927481829	0.002776105499	1.542547162	98.45745284	4.089318498	95.9106815					0	0	-1896.07362	0.002776105499	-16087.300931919	
1895.99362	3	97	0.3944416247	0.00277114145	1.545314068	98.45468593	4.096387884	95.90361212					0	0	-1895.99362	0.00277114145	-16144.6311185644	
1895.91362	3	97	0.3961273477	0.002766195021	1.548081011	98.45191899	4.10345655	95.89654345					0	0	-1895.91362	0.002766195021	-16202.0559457241	
1895.83362	3	97	0.3978054009	0.002761266098	1.55084799	98.44915201	4.110524498	95.8894755					0	0	-1895.83362	0.002761266098	-16259.5888823853	
1895.75362	3	97	0.3994758325	0.002756354612	1.553615006	98.44638499	4.117591726	95.88240827					0	0	-1895.75362	0.002756354612	-16317.2402137639	
1895.67362	3	97	0.4011386906	0.002751460457	1.556382058	98.44361794	4.124658236	95.87534176					0	0	-1895.67362	0.002751460457	-16374.9634108595	
1895.59362	3	97	0.4027940229	0.002746583537	1.559149146	98.44085085	4.131724028	95.86827597					0	0	-1895.59362	0.002746583537	-16432.7860024972	
1895.51362	3	97	0.4044418764	0.002741723764	1.561916269	98.43808373	4.138789101	95.8612109					0	0	-1895.51362	0.002741723764	-16490.7158345078	
1895.43362	3	97	0.4060822981	0.002736881048	1.564683428	98.43531657	4.145853455	95.85414654					0	0	-1895.43362	0.002736881048	-16548.7733010865	
1895.35362	3	97	0.4077153345	0.002732055314	1.567450623	98.43254938	4.152917092	95.84708291					0	0	-1895.35362	0.002732055314	-16606.9269023633	
1895.27362	3	97	0.4093410317	0.002727246455	1.570217853	98.42978215	4.159980011	95.84001999					0	0	-1895.27362	0.002727246455	-16665.1541479825	
1895.19362	3	97	0.4109594354	0.002722454384	1.572985119	98.42701488	4.167042213	95.83295779					0	0	-1895.19362	0.002722454384	-16723.4993111815	
1895.11362	3	97	0.4125705909	0.002717679021	1.575752419	98.42424758	4.174103697	95.8258963					0	0	-1895.11362	0.002717679021	-16781.9409001425	
1895.03362	3	97	0.4141745433	0.002712920268	1.578519754	98.42148025	4.181164464	95.81883554					0	0	-1895.03362	0.002712920268	-16840.4806571192	
