T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2)	w(FE@BCC_B2)	w(TI@BCC_B2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1775.645967	12	1	87	0.05051027398	0.0007144486247	5.050669315	0.3651877297	94.58414296	12.36674057	1.033477419	86.59978201							0	0	0	-1775.645967	0.0007144486247	-217056.057161987	
1775.565967	12	1	87	0.05120158193	0.0007140802316	5.052995009	0.365387848	94.58161714	12.3719669	1.033954829	86.59407827							0	0	0	-1775.565967	0.0007140802316	-217262.313880148	
1775.485967	12	1	87	0.05189203597	0.0007137121874	5.055320546	0.3655879834	94.57909147	12.37719261	1.034432192	86.5883752							0	0	0	-1775.485967	0.0007137121874	-217468.846751048	
1775.405967	12	1	87	0.05258163756	0.0007133444937	5.057645927	0.3657881358	94.57656594	12.3824177	1.034909505	86.5826728							0	0	0	-1775.405967	0.0007133444937	-217676.631313706	
1775.325967	12	1	87	0.05327038816	0.0007129771518	5.05997115	0.3659883052	94.57404054	12.38764216	1.035386771	86.57697107							0	0	0	-1775.325967	0.0007129771518	-217884.514568208	
1775.245967	12	1	87	0.05395828924	0.0007126101594	5.062296217	0.3661884917	94.57151529	12.392866	1.035863989	86.57127002							0	0	0	-1775.245967	0.0007126101594	-218091.36823234	
1775.165967	12	1	87	0.05464534224	0.000712243514	5.064621127	0.3663886952	94.56899018	12.39808921	1.036341158	86.56556963							0	0	0	-1775.165967	0.000712243514	-218298.707382116	
1775.085967	12	1	87	0.05533154863	0.0007118772184	5.06694588	0.3665889158	94.5664652	12.4033118	1.036818279	86.55986992							0	0	0	-1775.085967	0.0007118772184	-218506.497758112	
1775.005967	12	1	87	0.05601690983	0.00071151127	5.069270476	0.3667891534	94.56394037	12.40853377	1.037295351	86.55417088							0	0	0	-1775.005967	0.00071151127	-218713.968139919	
1774.925967	12	1	87	0.05670142732	0.000711145669	5.071594915	0.366989408	94.56141568	12.41375512	1.037772375	86.54847251							0	0	0	-1774.925967	0.000711145669	-218920.872307211	
1774.845967	12	1	87	0.05738510251	0.000710780412	5.073919196	0.3671896796	94.55889112	12.41897584	1.038249351	86.54277481							0	0	0	-1774.845967	0.000710780412	-219129.705662708	
1774.765967	12	1	87	0.05806793685	0.0007104155075	5.076243321	0.3673899683	94.55636671	12.42419594	1.038726279	86.53707779							0	0	0	-1774.765967	0.0007104155075	-219338.084572619	
1774.685967	12	1	87	0.05874993179	0.0007100509442	5.078567288	0.3675902741	94.55384244	12.42941541	1.039203158	86.53138143							0	0	0	-1774.685967	0.0007100509442	-219545.303594895	
1774.605967	12	1	87	0.05943108875	0.0007096867282	5.080891098	0.3677905968	94.5513183	12.43463427	1.039679989	86.52568575							0	0	0	-1774.605967	0.0007096867282	-219753.633304399	
1774.525967	12	1	87	0.06011140915	0.0007093228558	5.083214751	0.3679909366	94.54879431	12.4398525	1.040156771	86.51999073							0	0	0	-1774.525967	0.0007093228558	-219961.332913279	
1774.445967	12	1	87	0.06079089443	0.0007089593273	5.085538247	0.3681912935	94.54627046	12.4450701	1.040633505	86.51429639							0	0	0	-1774.445967	0.0007089593273	-220170.214374447	
1774.365967	12	1	87	0.06146954601	0.000708596145	5.087861585	0.3683916674	94.54374675	12.45028709	1.041110191	86.50860272							0	0	0	-1774.365967	0.000708596145	-220378.395465175	
1774.285967	12	1	87	0.06214736531	0.000708233303	5.090184766	0.3685920583	94.54122318	12.45550345	1.041586828	86.50290972							0	0	0	-1774.285967	0.000708233303	-220586.764117107	
1774.205967	12	1	87	0.06282435375	0.0007078708065	5.092507789	0.3687924662	94.53869975	12.4607192	1.042063417	86.49721739							0	0	0	-1774.205967	0.0007078708065	-220796.284345551	
1774.125967	12	1	87	0.06350051274	0.0007075086528	5.094830654	0.3689928912	94.53617645	12.46593431	1.042539957	86.49152573							0	0	0	-1774.125967	0.0007075086528	-221004.401593731	
1774.045967	12	1	87	0.06417584368	0.0007071468387	5.097153363	0.3691933332	94.5336533	12.47114881	1.043016449	86.48583474							0	0	0	-1774.045967	0.0007071468387	-221212.271748329	
1773.965967	12	1	87	0.064850348	0.0007067853653	5.099475913	0.3693937923	94.53113029	12.47636269	1.043492892	86.48014442							0	0	0	-1773.965967	0.0007067853653	-221422.128446338	
1773.885967	12	1	87	0.06552402709	0.0007064242367	5.101798306	0.3695942684	94.52860743	12.48157594	1.043969287	86.47445477							0	0	0	-1773.885967	0.0007064242367	-221631.179350519	
1773.805967	12	1	87	0.06619688236	0.0007060634449	5.104120541	0.3697947615	94.5260847	12.48678857	1.044445633	86.4687658							0	0	0	-1773.805967	0.0007060634449	-221839.340365675	
1773.725967	12	1	87	0.06686891519	0.0007057029937	5.106442619	0.3699952717	94.52356211	12.49200058	1.044921931	86.46307749							0	0	0	-1773.725967	0.0007057029937	-222049.401197362	
1773.645967	12	1	87	0.067540127	0.0007053428842	5.108764539	0.3701957989	94.52103966	12.49721197	1.04539818	86.45738985							0	0	0	-1773.645967	0.0007053428842	-222258.497903668	
1773.565967	12	1	87	0.06821051917	0.0007049831109	5.111086301	0.3703963431	94.51851736	12.50242274	1.04587438	86.45170288							0	0	0	-1773.565967	0.0007049831109	-222467.282395298	
1773.485967	12	1	87	0.06888009309	0.000704623677	5.113407905	0.3705969044	94.51599519	12.50763288	1.046350532	86.44601659							0	0	0	-1773.485967	0.000704623677	-222677.542498892	
1773.405967	12	1	87	0.06954885015	0.0007042645828	5.115729351	0.3707974827	94.51347317	12.51284241	1.046826635	86.44033096							0	0	0	-1773.405967	0.0007042645828	-222886.893550075	
1773.325967	12	1	87	0.07021679172	0.0007039058238	5.118050639	0.3709980781	94.51095128	12.51805131	1.04730269	86.434646							0	0	0	-1773.325967	0.0007039058238	-223095.98938891	
1773.245967	12	1	87	0.0708839192	0.0007035474024	5.120371769	0.3711986905	94.50842954	12.52325959	1.047778696	86.42896171							0	0	0	-1773.245967	0.0007035474024	-223305.881022749	
1773.165967	12	1	87	0.07155023396	0.0007031893175	5.122692742	0.3713993199	94.50590794	12.52846725	1.048254653	86.42327809							0	0	0	-1773.165967	0.0007031893175	-223515.418459837	
1773.085967	12	1	87	0.07221573737	0.0007028315678	5.125013556	0.3715999664	94.50338648	12.53367429	1.048730562	86.41759515							0	0	0	-1773.085967	0.0007028315678	-223726.259958583	
1773.005967	12	1	87	0.0728804308	0.0007024741575	5.127334212	0.3718006299	94.50086516	12.53888071	1.049206422	86.41191287							0	0	0	-1773.005967	0.0007024741575	-223936.39560876	
1772.925967	12	1	87	0.07354431563	0.0007021170789	5.12965471	0.3720013104	94.49834398	12.54408651	1.049682233	86.40623126							0	0	0	-1772.925967	0.0007021170789	-224145.865800334	
1772.845967	12	1	87	0.07420739322	0.0007017603363	5.131975049	0.372202008	94.49582294	12.54929169	1.050157995	86.40055032							0	0	0	-1772.845967	0.0007017603363	-224355.88076574	
1772.765967	12	1	87	0.07486966492	0.0007014039259	5.134295231	0.3724027226	94.49330205	12.55449625	1.050633709	86.39487004							0	0	0	-1772.765967	0.0007014039259	-224565.915202863	
1772.685967	12	1	87	0.07553113211	0.0007010478503	5.136615254	0.3726034543	94.49078129	12.55970018	1.051109374	86.38919044							0	0	0	-1772.685967	0.0007010478503	-224776.719830747	
1772.605967	12	1	87	0.07619179613	0.0007006921081	5.138935119	0.372804203	94.48826068	12.5649035	1.05158499	86.38351151							0	0	0	-1772.605967	0.0007006921081	-224987.415121009	
1772.525967	12	1	87	0.07685165835	0.0007003366991	5.141254825	0.3730049687	94.48574021	12.5701062	1.052060558	86.37783325							0	0	0	-1772.525967	0.0007003366991	-225198.537768096	
1772.445967	12	1	87	0.07751072011	0.0006999816236	5.143574373	0.3732057515	94.48321988	12.57530827	1.052536076	86.37215565							0	0	0	-1772.445967	0.0006999816236	-225408.529532248	
1772.365967	12	1	87	0.07816898275	0.0006996268765	5.145893763	0.3734065513	94.48069969	12.58050973	1.053011546	86.36647872							0	0	0	-1772.365967	0.0006996268765	-225618.983087122	
1772.285967	12	1	87	0.07882644764	0.0006992724631	5.148212994	0.3736073682	94.47817964	12.58571057	1.053486967	86.36080247							0	0	0	-1772.285967	0.0006992724631	-225829.951416152	
1772.205967	12	1	87	0.07948311609	0.0006989183785	5.150532067	0.3738082021	94.47565973	12.59091078	1.053962339	86.35512688							0	0	0	-1772.205967	0.0006989183785	-226041.096545897	
1772.125967	12	1	87	0.08013898947	0.0006985646269	5.15285098	0.374009053	94.47313997	12.59611038	1.054437662	86.34945196							0	0	0	-1772.125967	0.0006985646269	-226252.535689802	
1772.045967	12	1	87	0.0807940691	0.0006982112038	5.155169736	0.374209921	94.47062034	12.60130936	1.054912937	86.3437777							0	0	0	-1772.045967	0.0006982112038	-226463.41274614	
1771.965967	12	1	87	0.08144835631	0.0006978581107	5.157488332	0.374410806	94.46810086	12.60650772	1.055388162	86.33810412							0	0	0	-1771.965967	0.0006978581107	-226674.84233329	
1771.885967	12	1	87	0.08210185244	0.0006975053466	5.15980677	0.374611708	94.46558152	12.61170546	1.055863339	86.33243121							0	0	0	-1771.885967	0.0006975053466	-226885.830211059	
1771.805967	12	1	87	0.08275455881	0.0006971529099	5.162125049	0.3748126271	94.46306232	12.61690258	1.056338466	86.32675896							0	0	0	-1771.805967	0.0006971529099	-227096.890214872	
1771.725967	12	1	87	0.08340647676	0.0006968008012	5.16444317	0.3750135632	94.46054327	12.62209908	1.056813545	86.32108738							0	0	0	-1771.725967	0.0006968008012	-227309.313150801	
1771.645967	12	1	87	0.08405760759	0.0006964490229	5.166761131	0.3752145164	94.45802435	12.62729496	1.057288574	86.31541647							0	0	0	-1771.645967	0.0006964490229	-227520.639917972	
1771.565967	12	1	87	0.08470795263	0.000696097568	5.169078934	0.3754154866	94.45550558	12.63249022	1.057763555	86.30974623							0	0	0	-1771.565967	0.000696097568	-227732.108627339	
1771.485967	12	1	87	0.08535751321	0.0006957464427	5.171396578	0.3756164739	94.45298695	12.63768486	1.058238487	86.30407665							0	0	0	-1771.485967	0.0006957464427	-227943.930782591	
1771.405967	12	1	87	0.08600629062	0.0006953956407	5.173714062	0.3758174782	94.45046846	12.64287889	1.058713369	86.29840775							0	0	0	-1771.405967	0.0006953956407	-228155.829022427	
1771.325967	12	1	87	0.08665428618	0.0006950451673	5.176031388	0.3760184995	94.44795011	12.64807229	1.059188203	86.29273951							0	0	0	-1771.325967	0.0006950451673	-228368.409066929	
1771.245967	12	1	87	0.0873015012	0.0006946950181	5.178348555	0.3762195379	94.44543191	12.65326508	1.059662988	86.28707193							0	0	0	-1771.245967	0.0006946950181	-228580.474900216	
1771.165967	12	1	87	0.08794793699	0.0006943451947	5.180665562	0.3764205933	94.44291384	12.65845725	1.060137723	86.28140503							0	0	0	-1771.165967	0.0006943451947	-228792.343026575	
1771.085967	12	1	87	0.08859359484	0.0006939956937	5.182982411	0.3766216658	94.44039592	12.6636488	1.06061241	86.27573879							0	0	0	-1771.085967	0.0006939956937	-229004.247186963	
1771.005967	12	1	87	0.08923847606	0.0006936465174	5.1852991	0.3768227553	94.43787814	12.66883973	1.061087047	86.27007323							0	0	0	-1771.005967	0.0006936465174	-229216.311151622	
1770.925967	12	1	87	0.08988258194	0.0006932976628	5.18761563	0.3770238618	94.43536051	12.67403004	1.061561636	86.26440832							0	0	0	-1770.925967	0.0006932976628	-229429.332209566	
