T	w(CU)	w(FE)	w(TI)	fs	fw(@BCC_A2)	w(CU@BCC_A2)	w(FE@BCC_A2)	w(TI@BCC_A2)	w(CU@LIQUID)	w(FE@LIQUID)	w(TI@LIQUID)	w(CU@BCC_B2#1)	w(FE@BCC_B2#1)	w(TI@BCC_B2#1)	w(CU@BCC_B2#2)	w(FE@BCC_B2#2)	w(TI@BCC_B2#2)	w(CU@CUTI2)	w(FE@CUTI2)	w(TI@CUTI2)	dwdT_L(CU@LIQUID)	dwdT_L(FE@LIQUID)	dwdT_L(TI@LIQUID)	-T	fw(@BCC_A2)_1	-T//fw(@BCC_A2)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	%	%	%	%	%	%	SI	SI	SI				
1662.14687	12	6	82	0.03055864419	0.0003849557738	5.357542974	2.516463536	92.12599349	12.20619247	6.108323071	81.68548446										0	0	0	-1662.14687	0.0003849557738	-673146.948949794	
1662.06687	12	6	82	0.03094026156	0.0003848369648	5.358820853	2.517296007	92.12388314	12.2088286	6.109705562	81.68146584										0	0	0	-1662.06687	0.0003848369648	-673559.27160778	
1661.98687	12	6	82	0.0313216127	0.0003847182297	5.360098568	2.518128565	92.12177287	12.21146445	6.111087839	81.67744771										0	0	0	-1661.98687	0.0003847182297	-673971.230974934	
1661.90687	12	6	82	0.03170269786	0.0003845995659	5.361376121	2.518961211	92.11966267	12.2141	6.1124699	81.6734301										0	0	0	-1661.90687	0.0003845995659	-674383.143453153	
1661.82687	12	6	82	0.03208351732	0.0003844809758	5.36265351	2.519793944	92.11755255	12.21673526	6.113851746	81.66941299										0	0	0	-1661.82687	0.0003844809758	-674791.554016264	
1661.74687	12	6	82	0.03246407133	0.0003843624556	5.363930735	2.520626765	92.1154425	12.21937024	6.115233378	81.66539638										0	0	0	-1661.74687	0.0003843624556	-675201.912235397	
1661.66687	12	6	82	0.03284436017	0.0003842440096	5.365207797	2.521459673	92.11333253	12.22200492	6.116614794	81.66138029										0	0	0	-1661.66687	0.0003842440096	-675614.453749063	
1661.58687	12	6	82	0.03322438409	0.0003841256341	5.366484695	2.52229267	92.11122263	12.22463931	6.117995995	81.65736469										0	0	0	-1661.58687	0.0003841256341	-676017.230295346	
1661.50687	12	6	82	0.03360414337	0.0003840073292	5.36776143	2.523125754	92.10911282	12.22727342	6.119376982	81.6533496										0	0	0	-1661.50687	0.0003840073292	-676435.948290733	
1661.42687	12	6	82	0.03398363827	0.0003838891002	5.369038002	2.523958925	92.10700307	12.22990723	6.120757753	81.64933502										0	0	0	-1661.42687	0.0003838891002	-676852.567662107	
1661.34687	12	6	82	0.03436286905	0.0003837709409	5.37031441	2.524792185	92.10489341	12.23254075	6.122138309	81.64532094										0	0	0	-1661.34687	0.0003837709409	-677257.975801286	
1661.26687	12	6	82	0.03474183597	0.0003836528534	5.371590654	2.525625532	92.10278381	12.23517398	6.123518651	81.64130737										0	0	0	-1661.26687	0.0003836528534	-677669.027975492	
1661.18687	12	6	82	0.03512053931	0.0003835348374	5.372866734	2.526458967	92.1006743	12.23780693	6.124898777	81.6372943										0	0	0	-1661.18687	0.0003835348374	-678080.293789596	
1661.10687	12	6	82	0.03549897931	0.0003834168931	5.374142651	2.527292491	92.09856486	12.24043958	6.126278689	81.63328173										0	0	0	-1661.10687	0.0003834168931	-678494.074190782	
1661.02687	12	6	82	0.03587715625	0.000383299021	5.375418404	2.528126102	92.09645549	12.24307195	6.127658385	81.62926967										0	0	0	-1661.02687	0.000383299021	-678903.164876981	
