T	w(AL)	w(CU)	w(SI)	fs	fw(@FCC_A1#1)	fw(@FCC_A1#2)	w(AL@FCC_A1#1)	w(CU@FCC_A1#1)	w(SI@FCC_A1#1)	w(AL@FCC_A1#2)	w(CU@FCC_A1#2)	w(SI@FCC_A1#2)	w(AL@LIQUID)	w(CU@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1#1)	dwdT_L(CU@FCC_A1#1)	dwdT_L(SI@FCC_A1#1)	dwdT_L(AL@FCC_A1#2)	dwdT_L(CU@FCC_A1#2)	dwdT_L(SI@FCC_A1#2)	dwdT_L(AL@LIQUID)	dwdT_L(CU@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1#1)_1	fw(@FCC_A1#2)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI	SI	SI	SI					
756.7754711	92	6	2	0.8536285432	0.01177658819		93.08738566	5.171695029	1.740919311				62.11426623	28.53772828	9.348005488	0.3661686973	-0.2762363321	-0.08993236518				0	0	0	-756.7754711	0.01177658819			
754.2154711	92	6	2	0.8556033024	0.01158917837		92.90328553	5.317537233	1.779177236				61.75326736	28.80998205	9.436750585	0.3623999271	-0.2733112364	-0.08908869064				0	0	0	-754.2154711	0.01158917837			
751.6554711	92	6	2	0.8575233039	0.01141045311		92.7117097	5.469974291	1.818316012				61.39594441	29.07937172	9.524683873	0.3587099665	-0.2704361324	-0.08827383401				0	0	0	-751.6554711	0.01141045311			
749.0954711	92	6	2	0.8593912925	0.01124033456		92.51189675	5.629699641	1.858403608				61.04221869	29.3459461	9.611835202	0.3550989916	-0.2676100439	-0.08748894778				0	0	0	-749.0954711	0.01124033456			
746.5354711	92	6	2	0.861209893	0.01107880207		92.30296042	5.797521667	1.899517913				60.69201111	29.60975305	9.69823584	0.3515674244	-0.2648319646	-0.08673545983				0	0	0	-746.5354711	0.01107880207			
743.9754711	92	6	2	0.8629816255	0.01092590164		92.08385983	5.974391231	1.941748941				60.34524184	29.87083933	9.783918826	0.3481159946	-0.2621008497	-0.08601514493				0	0	0	-743.9754711	0.01092590164			
741.4154711	92	6	2	0.8647089221	0.0107817591		91.85336016	6.161438132	1.985201712				60.00182994	30.12925066	9.868919401	0.3447458224	-0.2594156021	-0.08533022033				0	0	0	-741.4154711	0.0107817591			
738.8554711	92	6	2	0.8663941442	0.01064659853		91.60997964	6.360020261	2.030000094				59.66169285	30.38503157	9.953275584	0.3414585271	-0.256775051	-0.08468347612				0	0	0	-738.8554711	0.01064659853			
736.2954711	92	6	2	0.8680396023	0.01052076829		91.35191675	6.571791227	2.076292019				59.32474577	30.63822531	10.03702892	0.3382563762	-0.2541779195	-0.08407845672				0	0	0	-736.2954711	0.01052076829			
733.7354711	92	6	2	0.8696475797	0.0104047787		91.07694761	6.798795657	2.124256738				58.99090079	30.88887372	10.1202255	0.3351424924	-0.2516227727	-0.08351971968				0	0	0	-733.7354711	0.0104047787			
