T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
669.7143155	97	3	0.9349225347	0.009322505435	93.74956382	6.250436184	68.04110523	31.95889477	0.2406026552	-0.2406026552	0	0	-669.7143155	0.009322505435	-32648.8545894206	
667.1543155	97	3	0.9355303154	0.009245056814	93.66291552	6.337084484	67.80201987	32.19798013	0.2400185935	-0.2400185935	0	0	-667.1543155	0.009245056814	-33478.9895990515	
664.5943155	97	3	0.936127537	0.00916952564	93.57554961	6.424450393	67.56350182	32.43649818	0.2394490738	-0.2394490738	0	0	-664.5943155	0.00916952564	-34327.5855462988	
662.0343155	97	3	0.9367145081	0.009095859034	93.48745804	6.51254196	67.32553676	32.67446324	0.2388939298	-0.2388939298	0	0	-662.0343155	0.009095859034	-35195.2505172093	
659.4743155	97	3	0.9372915253	0.009024006256	93.39863267	6.601367333	67.08811053	32.91188947	0.238353001	-0.238353001	0	0	-659.4743155	0.009024006256	-36082.6267505026	
656.9143155	97	3	0.9378588744	0.008953918597	93.30906524	6.69093476	66.85120913	33.14879087	0.2378261325	-0.2378261325	0	0	-656.9143155	0.008953918597	-36990.3932953009	
654.3543155	97	3	0.9384168303	0.008885549294	93.21874741	6.781252589	66.61481869	33.38518131	0.2373131752	-0.2373131752	0	0	-654.3543155	0.008885549294	-37919.2696605233	
651.7943155	97	3	0.938965658	0.008818853438	93.12767073	6.87232927	66.37892551	33.62107449	0.2368139854	-0.2368139854	0	0	-651.7943155	0.008818853438	-38870.0170596432	
649.2343155	97	3	0.9395056125	0.008753787892	93.03582664	6.964173359	66.14351601	33.85648399	0.2363284249	-0.2363284249	0	0	-649.2343155	0.008753787892	-39843.4429558269	
646.6743155	97	3	0.9400369399	0.008690311214	92.94320648	7.056793516	65.90857674	34.09142326	0.2358563607	-0.2358563607	0	0	-646.6743155	0.008690311214	-40840.403966631	
644.1143155	97	3	0.9405598774	0.008628383582	92.84980149	7.150198506	65.67409439	34.32590561	0.235397665	-0.235397665	0	0	-644.1143155	0.008628383582	-41861.8099058988	
641.5543155	97	3	0.9410746535	0.008567966726	92.75560279	7.244397206	65.44005577	34.55994423	0.2349522153	-0.2349522153	0	0	-641.5543155	0.008567966726	-42908.6256247925	
638.9943155	97	3	0.941581489	0.008509023855	92.6606014	7.3393986	65.2064478	34.7935522	0.234519894	-0.234519894	0	0	-638.9943155	0.008509023855	-43981.8787202075	
636.4343155	97	3	0.942080597	0.008451519605	92.56478822	7.435211782	64.97325751	35.02674249	0.2341005887	-0.2341005887	0	0	-636.4343155	0.008451519605	-45082.6628831177	
633.8743155	97	3	0.9425721831	0.00839541997	92.46815404	7.531845962	64.74047204	35.25952796	0.2336941916	-0.2336941916	0	0	-633.8743155	0.00839541997	-46212.1420561954	
631.3143155	97	3	0.9430564458	0.008340692252	92.37068954	7.629310462	64.50807865	35.49192135	0.2333005999	-0.2333005999	0	0	-631.3143155	0.008340692252	-47371.5570469886	
628.7543155	97	3	0.9435335772	0.008287305002	92.27238528	7.727614718	64.27606467	35.72393533	0.2329197156	-0.2329197156	0	0	-628.7543155	0.008287305002	-48562.2329907788	
626.1943155	97	3	0.9440037627	0.008235227977	92.17323171	7.826768286	64.04441754	35.95558246	0.2325514452	-0.2325514452	0	0	-626.1943155	0.008235227977	-49785.585230351	
623.6343155	97	3	0.9444671815	0.008184432085	92.07321916	7.926780838	63.81312478	36.18687522	0.2321957001	-0.2321957001	0	0	-623.6343155	0.008184432085	-51043.1254967808	
621.0743155	97	3	0.9449240071	0.008134889343	91.97233783	8.027662166	63.58217401	36.41782599	0.2318523961	-0.2318523961	0	0	-621.0743155	0.008134889343	-52336.4739945592	
618.5143155	97	3	0.9453744072	0.008086572835	91.87057781	8.129422185	63.3515529	36.6484471	0.2315214536	-0.2315214536	0	0	-618.5143155	0.008086572835	-53667.3643868086	
615.9543155	97	3	0.9458185442	0.008039456666	91.76792907	8.232070932	63.12124921	36.87875079	0.2312027974	-0.2312027974	0	0	-615.9543155	0.008039456666	-55037.6568123974	
613.3943155	97	3	0.946256575	0.007993515929	91.66438143	8.335618568	62.8912508	37.1087492	0.2308963568	-0.2308963568	0	0	-613.3943155	0.007993515929	-56449.3513796269	
610.8343155	97	3	0.9466886519	0.007948726667	91.55992462	8.440075379	62.66154554	37.33845446	0.2306020655	-0.2306020655	0	0	-610.8343155	0.007948726667	-57904.5945501107	
608.2743155	97	3	0.9471149222	0.007905065833	91.45454822	8.545451779	62.4321214	37.5678786	0.2303198614	-0.2303198614	0	0	-608.2743155	0.007905065833	-59405.6985700768	
605.7143155	97	3	0.9475355287	0.007862511264	91.34824169	8.651758313	62.2029664	37.7970336	0.230049687	-0.230049687	0	0	-605.7143155	0.007862511264	-60955.1572019489	
603.1543155	97	3	0.9479506095	0.007821041645	91.24099435	8.759005652	61.9740686	38.0259314	0.2297914887	-0.2297914887	0	0	-603.1543155	0.007821041645	-62555.6588068189	
600.5943155	97	3	0.9483602989	0.007780636479	91.1327954	8.867204603	61.74541614	38.25458386	0.2295452175	-0.2295452175	0	0	-600.5943155	0.007780636479	-64210.1106985193	
598.0343155	97	3	0.9487647269	0.007741276061	91.0236339	8.976366103	61.51699717	38.48300283	0.2293108284	-0.2293108284	0	0	-598.0343155	0.007741276061	-65921.6588926451	
595.4743155	97	3	0.9491640195	0.007702941448	90.91349877	9.086501226	61.28879989	38.71120011	0.2290882807	-0.2290882807	0	0	-595.4743155	0.007702941448	-67693.7134748239	
592.9143155	97	3	0.9495582992	0.007665614436	90.80237882	9.19762118	61.06081256	38.93918744	0.2288775378	-0.2288775378	0	0	-592.9143155	0.007665614436	-69529.9773600747	
590.3543155	97	3	0.9499476845	0.007629277534	90.69026269	9.309737313	60.83302344	39.16697656	0.2286785673	-0.2286785673	0	0	-590.3543155	0.007629277534	-71434.4759207711	
587.7943155	97	3	0.9503322909	0.007593913941	90.57713889	9.42286111	60.60542083	39.39457917	0.2284913409	-0.2284913409	0	0	-587.7943155	0.007593913941	-73411.5962288298	
