T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
674.2156036	99	1	0.9819822207	0.009705927843	93.21691452	6.783085485	68.20710335	31.79289665	0	0	-674.2156036	0.009705927843	-31328.1061665382	
671.6556036	99	1	0.9821573659	0.009625237921	93.12220649	6.877793509	67.96495895	32.03504105	0	0	-671.6556036	0.009625237921	-32144.4348272425	
669.0956036	99	1	0.9823294015	0.009546594224	93.02673317	6.973266833	67.72339837	32.27660163	0	0	-669.0956036	0.009546594224	-32979.6060337073	
666.5356036	99	1	0.9824984202	0.009469939523	92.93048642	7.069513575	67.48240667	32.51759333	0	0	-666.5356036	0.009469939523	-33834.2668293232	
663.9756036	99	1	0.982664511	0.009395218934	92.83345806	7.166541942	67.24196912	32.75803088	0	0	-663.9756036	0.009395218934	-34709.1019545321	
661.4156036	99	1	0.9828277595	0.009322379812	92.73563977	7.26436023	67.0020711	32.9979289	0	0	-661.4156036	0.009322379812	-35604.8370854261	
658.8556036	99	1	0.982988248	0.009251371645	92.63702317	7.362976827	66.76269818	33.23730182	0	0	-658.8556036	0.009251371645	-36522.2414757763	
656.2956036	99	1	0.9831460558	0.009182145958	92.53759979	7.462400213	66.52383608	33.47616392	0	0	-656.2956036	0.009182145958	-37462.1306760714	
653.7356036	99	1	0.9833012592	0.009114656217	92.43736104	7.562638964	66.28547067	33.71452933	0	0	-653.7356036	0.009114656217	-38425.3707915807	
651.1756036	99	1	0.9834539317	0.009048857746	92.33629825	7.663701748	66.04758795	33.95241205	0	0	-651.1756036	0.009048857746	-39412.882794099	
648.6156036	99	1	0.9836041441	0.008984707643	92.23440267	7.76559733	65.81017405	34.18982595	0	0	-648.6156036	0.008984707643	-40425.6449566265	
646.0556036	99	1	0.9837519647	0.0089221647	92.13166543	7.868334572	65.57321526	34.42678474	0	0	-646.0556036	0.0089221647	-41464.6997131703	
643.4956036	99	1	0.9838974592	0.008861189335	92.02807757	7.971922433	65.33669796	34.66330204	0	0	-643.4956036	0.008861189335	-42531.1560419082	
640.9356036	99	1	0.9840406912	0.008801743513	91.92363003	8.076369972	65.10060868	34.89939132	0	0	-640.9356036	0.008801743513	-43626.1971988826	
638.3756036	99	1	0.9841817218	0.008743790691	91.81831365	8.181686349	64.86493404	35.13506596	0	0	-638.3756036	0.008743790691	-44751.086484732	
635.8156036	99	1	0.9843206103	0.008687295747	91.71211917	8.287880825	64.62966078	35.37033922	0	0	-635.8156036	0.008687295747	-45907.1714488464	
633.2556036	99	1	0.9844574136	0.008632224924	91.60503724	8.394962762	64.39477575	35.60522425	0	0	-633.2556036	0.008632224924	-47095.8949849611	
630.6956036	99	1	0.9845921869	0.008578545776	91.49705837	8.502941628	64.16026589	35.83973411	0	0	-630.6956036	0.008578545776	-48318.8005943216	
628.1356036	99	1	0.9847249835	0.008526227111	91.38817301	8.611826994	63.92611824	36.07388176	0	0	-628.1356036	0.008526227111	-49577.54248627	
625.5756036	99	1	0.9848558547	0.008475238945	91.27837146	8.721628536	63.69231992	36.30768008	0	0	-625.5756036	0.008475238945	-50873.8948905476	
623.0156036	99	1	0.9849848505	0.00842555245	91.16764396	8.83235604	63.45885815	36.54114185	0	0	-623.0156036	0.00842555245	-52209.7627853776	
620.4556036	99	1	0.9851120188	0.008377139912	91.0559806	8.944019396	63.22572023	36.77427977	0	0	-620.4556036	0.008377139912	-53587.1953763721	
617.8956036	99	1	0.9852374062	0.008329974687	90.94337139	9.056628606	62.99289351	37.00710649	0	0	-617.8956036	0.008329974687	-55008.3979288815	
615.3356036	99	1	0.9853610579	0.00828403116	90.82980622	9.17019378	62.76036544	37.23963456	0	0	-615.3356036	0.00828403116	-56475.7476839181	
612.7756036	99	1	0.9854830173	0.008239284707	90.71527486	9.28472514	62.52812353	37.47187647	0	0	-612.7756036	0.008239284707	-57991.8120025191	
610.2156036	99	1	0.9856033267	0.00819571166	90.59976698	9.400233021	62.29615534	37.70384466	0	0	-610.2156036	0.00819571166	-59559.3625304249	
607.6556036	99	1	0.985722027	0.008153289266	90.48327213	9.516727869	62.0644485	37.9355515	0	0	-607.6556036	0.008153289266	-61181.4016902897	
605.0956036	99	1	0.9858391578	0.008111995663	90.36577976	9.634220245	61.83299069	38.16700931	0	0	-605.0956036	0.008111995663	-62861.1846619964	
602.5356036	99	1	0.9859547575	0.008071809841	90.24727917	9.752720825	61.60176963	38.39823037	0	0	-602.5356036	0.008071809841	-64602.2431923634	
599.9756036	99	1	0.9860688633	0.008032711616	90.1277596	9.872240403	61.3707731	38.6292269	0	0	-599.9756036	0.008032711616	-66408.42122263	
597.4156036	99	1	0.9861815113	0.007994681602	90.00721011	9.992789887	61.1399889	38.8600111	0	0	-597.4156036	0.007994681602	-68283.9056108901	
594.8556036	99	1	0.9862927365	0.007957701183	89.8856197	10.1143803	60.90940488	39.09059512	0	0	-594.8556036	0.007957701183	-70233.2631415003	
592.2956036	99	1	0.9864025728	0.007921752486	89.7629772	10.2370228	60.67900892	39.32099108	0	0	-592.2956036	0.007921752486	-72261.4888020939	
589.7356036	99	1	0.9865110531	0.00788681836	89.63927135	10.36072865	60.44878893	39.55121107	0	0	-589.7356036	0.00788681836	-74374.0568444975	
587.1756036	99	1	0.9866182096	0.007852882352	89.51449078	10.48550922	60.21873282	39.78126718	0	0	-587.1756036	0.007852882352	-76576.9745580377	
584.6156036	99	1	0.9867240731	0.007819928684	89.38862396	10.61137604	59.98882855	40.01117145	0	0	-584.6156036	0.007819928684	-78876.84910005	
582.0556036	99	1	0.986828674	0.007787942232	89.26165926	10.73834074	59.75906408	40.24093592	0	0	-582.0556036	0.007787942232	-81280.9688013431	
579.4956036	99	1	0.9869320414	0.007756908509	89.13358494	10.86641506	59.52942737	40.47057263	0	0	-579.4956036	0.007756908509	-83797.3908583626	
576.9356036	99	1	0.9870342039	0.007726813645	89.00438911	10.99561089	59.29990639	40.70009361	0	0	-576.9356036	0.007726813645	-86435.0379444046	
574.3756036	99	1	0.9871351891	0.007697644367	88.87405977	11.12594023	59.07048913	40.92951087	0	0	-574.3756036	0.007697644367	-89203.8254032632	
571.8156036	99	1	0.9872350239	0.007669387986	88.74258479	11.25741521	58.84116355	41.15883645	0	0	-571.8156036	0.007669387986	-92114.8035998016	
569.2556036	99	1	0.9873337345	0.00764203238	88.60995192	11.39004808	58.61191762	41.38808238	0	0	-569.2556036	0.00764203238	-95180.3167695796	
566.6956036	99	1	0.9874313464	0.007615565978	88.47614876	11.52385124	58.38273929	41.61726071	0	0	-566.6956036	0.007615565978	-98414.1978983152	
564.1356036	99	1	0.9875278842	0.007589977745	88.34116281	11.65883719	58.15361651	41.84638349	0	0	-564.1356036	0.007589977745	-101832.006614446	
561.5756036	99	1	0.9876233722	0.007565257171	88.20498143	11.79501857	57.92453717	42.07546283	0	0	-561.5756036	0.007565257171	-105451.306820133	
559.0156036	99	1	0.9877178338	0.007541394258	88.06759185	11.93240815	57.69548918	42.30451082	0	0	-559.0156036	0.007541394258	-109291.989196505	
556.4556036	99	1	0.9878112917	0.007518379506	87.92898118	12.07101882	57.4664604	42.5335396	0	0	-556.4556036	0.007518379506	-113376.670878042	
553.8956036	99	1	0.9879037684	0.007496203902	87.78913637	12.21086363	57.23743865	42.76256135	0	0	-553.8956036	0.007496203902	-117731.193787964	
551.3356036	99	1	0.9879952853	0.007474858913	87.64804429	12.35195571	57.00841172	42.99158828	0	0	-551.3356036	0.007474858913	-122385.201947027	
548.7756036	99	1	0.9880858637	0.007454336471	87.50569162	12.49430838	56.77936736	43.22063264	0	0	-548.7756036	0.007454336471	-127372.869661173	
546.2156036	99	1	0.9881755242	0.007434628967	87.36206497	12.63793503	56.55029326	43.44970674	0	0	-546.2156036	0.007434628967	-132733.80638424	
543.6556036	99	1	0.9882642867	0.00741572924	87.21715076	12.78284924	56.32117708	43.67882292	0	0	-543.6556036	0.00741572924	-138623.240115074	
541.0956036	99	1	0.9883521712	0.007397657276	87.07093532	12.92906468	56.09200557	43.90799443	0	0	-541.0956036	0.007397657276	-144630.605583083	
538.5356036	99	1	0.9884391958	0.007380299897	86.92340482	13.07659518	55.86276875	44.13723125	0	0	-538.5356036	0.007380299897	-151474.930545248	
535.9756036	99	1	0.9885253801	0.007363811691	86.77454533	13.22545467	55.63345158	44.36654842	0	0	-535.9756036	0.007363811691	-159084.284945076	
533.4156036	99	1	0.9886107419	0.007348080177	86.62434275	13.37565725	55.40404229	44.59595771	0	0	-533.4156036	0.007348080177	-167073.956942397	
530.8556036	99	1	0.988695299	0.007333127108	86.47278287	13.52721713	55.17452819	44.82547181	0	0	-530.8556036	0.007333127108	-175998.042541943	
528.2956036	99	1	0.9887790687	0.007318947864	86.31985135	13.68014865	54.9448965	45.0551035	0	0	-528.2956036	0.007318947864	-185871.068435774	
525.7356036	99	1	0.9888620678	0.007305538228	86.16553371	13.83446629	54.71513438	45.28486562	0	0	-525.7356036	0.007305538228	-196858.695586881	
523.1756036	99	1	0.9889443129	0.007292894382	86.00981534	13.99018466	54.48522887	45.51477113	0	0	-523.1756036	0.007292894382	-209167.623348949	
520.6156036	99	1	0.9890258201	0.007281012902	85.85268149	14.14731851	54.25516692	45.74483308	0	0	-520.6156036	0.007281012902	-223059.152589384	
