T	w(AL)	w(MG)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI				
721.0095384	92	8	0.8925230332	0.0173624996	84.53406293	15.46593707	65.81326753	34.18673247	0	0	-721.0095384	0.0173624996	-26475.127590198	
718.4495384	92	8	0.8943427757	0.01726955809	84.2578398	15.7421602	65.48914074	34.51085926	0	0	-718.4495384	0.01726955809	-28933.9235476288	
715.8895384	92	8	0.8961228554	0.01718479373	83.97706658	16.02293342	65.16587464	34.83412536	0	0	-715.8895384	0.01718479373	-31895.6349387753	
713.3295384	92	8	0.8978650862	0.01710820763	83.69159858	16.30840142	64.84341636	35.15658364	0	0	-713.3295384	0.01710820763	-35544.1602962084	
710.7695384	92	8	0.8995712015	0.01703982264	83.40128609	16.59871391	64.52171209	35.47828791	0	0	-710.7695384	0.01703982264	-40166.3688182321	
708.2095384	92	8	0.9012428599	0.01697968395	83.1059742	16.8940258	64.20070694	35.79929306	0	0	-708.2095384	0.01697968395	-46236.7348740262	
705.6495384	92	8	0.9028816509	0.01692785999	82.80550255	17.19449745	63.88034484	36.11965516	0	0	-705.6495384	0.01692785999	-54603.0060069894	
703.0895384	92	8	0.9044891	0.01688444338	82.49970516	17.50029484	63.56056836	36.43943164	0	0	-703.0895384	0.01688444338	-66951.4372758548	
700.5295384	92	8	0.906066673	0.0168495521	82.18841008	17.81158992	63.24131865	36.75868135	0	0	-700.5295384	0.0168495521	-87221.8919417839	
697.9695384	92	8	0.9076157813	0.01682333096	81.87143924	18.12856076	62.92253526	37.07746474	0	0	-697.9695384	0.01682333096	-127511.374239528	
695.4095384	92	8	0.9091377857	0.01680595314	81.54860806	18.45139194	62.60415598	37.39584402	0	0	-695.4095384	0.01680595314	-255448.857580852	
692.8495384	92	8	0.9106340006	0.01679762221	81.21972521	18.78027479	62.28611667	37.71388333	0	0	-692.8495384	0.01679762221	3070042.07644149	
690.2895384	92	8	0.9121056984	0.01679857627	80.88459027	19.11540973	61.96835108	38.03164892	0	0	-690.2895384	0.01679857627	2480134.78738375	
687.7295384	92	8	0.913554112	0.01680908	80.54300336	19.45699664	61.65079065	38.34920935	0	0	-687.7295384	0.01680908	203562.157361405	
685.1695384	92	8	0.9149804403	0.01682944877	80.19474471	19.80525529	61.33336429	38.66663571	0	0	-685.1695384	0.01682944877	108902.852671038	
682.6095384	92	8	0.9163858504	0.01686003072	79.8395943	20.1604057	61.01599817	38.98400183	0	0	-682.6095384	0.01686003072	74523.2073991679	
680.0495384	92	8	0.9177714816	0.0169012212	79.47732136	20.52267864	60.69861539	39.30138461	0	0	-680.0495384	0.0169012212	56353.3993567219	
677.4895384	92	8	0.9191384489	0.01695346511	79.10768581	20.89231419	60.38113575	39.61886425	0	0	-677.4895384	0.01695346511	45005.8773238304	
674.9295384	92	8	0.920487846	0.01701726194	78.73043774	21.26956226	60.06347545	39.93652455	0	0	-674.9295384	0.01701726194	37203.4111379293	
672.3695384	92	8	0.9218207492	0.01709317166	78.3453167	21.6546833	59.74554666	40.25445334	0	0	-672.3695384	0.01709317166	31488.5826251321	
669.8095384	92	8	0.9231382208	0.01718182146	77.95205102	22.04794898	59.42725723	40.57274277	0	0	-669.8095384	0.01718182146	27110.5107787423	
667.2495384	92	8	0.9244413123	0.01728391361	77.55035698	22.44964302	59.10851021	40.89148979	0	0	-667.2495384	0.01728391361	23641.6445895436	
664.6895384	92	8	0.9257310682	0.01740023452	77.13993787	22.86006213	58.78920338	41.21079662	0	0	-664.6895384	0.01740023452	20820.1563174118	
662.1295384	92	8	0.9270085302	0.01753166538	76.72048295	23.27951705	58.46922874	41.53077126	0	0	-662.1295384	0.01753166538	18476.5435202331	
659.5695384	92	8	0.9282747405	0.01767919445	76.2916663	23.7083337	58.14847191	41.85152809	0	0	-659.5695384	0.01767919445	16496.154201407	
657.0095384	92	8	0.9295307463	0.01784393158	75.85314539	24.14685461	57.82681145	42.17318855	0	0	-657.0095384	0.01784393158	14798.6210385861	
654.4495384	92	8	0.9307776046	0.01802712525	75.40455958	24.59544042	57.50411813	42.49588187	0	0	-654.4495384	0.01802712525	13325.9278857165	
651.8895384	92	8	0.9320163866	0.01823018265	74.94552834	25.05447166	57.18025408	42.81974592	0	0	-651.8895384	0.01823018265	12035.1415496615	
649.3295384	92	8	0.9332481835	0.01845469357	74.47564916	25.52435084	56.85507182	43.14492818	0	0	-649.3295384	0.01845469357	10893.8103260933	
646.7695384	92	8	0.9344741121	0.0187024588	73.99449518	26.00550482	56.52841318	43.47158682	0	0	-646.7695384	0.0187024588	9876.95829166924	
644.2095384	92	8	0.9356953215	0.01897552394	73.50161247	26.49838753	56.20010803	43.79989197	0	0	-644.2095384	0.01897552394	8964.99259532795	
641.6495384	92	8	0.9369130009	0.01927622524	72.99651377	27.00348623	55.86997284	44.13002716	0	0	-641.6495384	0.01927622524	8142.49783317179	
639.0895384	92	8	0.9381283871	0.019607223	72.47868631	27.52131369	55.53780904	44.46219096	0	0	-639.0895384	0.019607223	7397.08705882959	
636.5295384	92	8	0.9393427748	0.01997158372	71.94757083	28.05242917	55.20340105	44.79659895	0	0	-636.5295384	0.01997158372	6718.53349632126	
633.9695384	92	8	0.940557528	0.0203728423	71.40256704	28.59743296	54.86651407	45.13348593	0	0	-633.9695384	0.0203728423	6098.61024818481	
631.4095384	92	8	0.9417740923	0.02081509431	70.84302501	29.15697499	54.52689139	45.47310861	0	0	-631.4095384	0.02081509431	5530.48797820642	
628.8495384	92	8	0.9429940108	0.0213031116	70.26823795	29.73176205	54.1842513	45.8157487	0	0	-628.8495384	0.0213031116	5008.46562883789	
626.2895384	92	8	0.9442189419	0.02184248494	69.67743355	30.32256645	53.8382834	46.1617166	0	0	-626.2895384	0.02184248494	4527.76533693182	
623.7295384	92	8	0.9454506812	0.02243980499	69.06976372	30.93023628	53.48864414	46.51135586	0	0	-623.7295384	0.02243980499	4084.35574029476	
621.1695384	92	8	0.9466911873	0.02310289364	68.4442921	31.5557079	53.13495149	46.86504851	0	0	-621.1695384	0.02310289364	3674.81690458934	
618.6095384	92	8	0.9479426144	0.02384110267	67.7999789	32.2000211	52.77677846	47.22322154	0	0	-618.6095384	0.02384110267	3296.23416081645	
616.0495384	92	8	0.949207351	0.02466570374	67.13566237	32.86433763	52.41364517	47.58635483	0	0	-616.0495384	0.02466570374	2946.11329333514	
613.4895384	92	8	0.9504880698	0.02559040405	66.4500359	33.5499641	52.04500904	47.95499096	0	0	-613.4895384	0.02559040405	2621.36004530524	
610.9295384	92	8	0.9517878242	0.02663295864	65.74160652	34.25839348	51.6702471	48.3297529	0	0	-610.9295384	0.02663295864	2321.89398501402	
608.3695384	92	8	0.9531100106	0.0278122723	65.00870856	34.99129144	51.28866139	48.71133861	0	0	-608.3695384	0.0278122723	2046.54020052517	
605.8095384	92	8	0.9544586179	0.02915610585	64.24938514	35.75061486	50.89942863	49.10057137	0	0	-605.8095384	0.02915610585	1791.22214506666	
603.2495384	92	8	0.9558382792	0.03069761497	63.46137559	36.53862441	50.50159423	49.49840577	0	0	-603.2495384	0.03069761497	1556.5726770989	
600.6895384	92	8	0.9572544703	0.03248015604	62.64202548	37.35797452	50.09403345	49.90596655	0	0	-600.6895384	0.03248015604	1341.19966569516	
598.1295384	92	8	0.9587137549	0.03456083784	61.78818159	38.21181841	49.67540572	50.32459428	0	0	-598.1295384	0.03456083784	1144.20594102345	
595.5695384	92	8	0.9602241286	0.03701642294	60.89604836	39.10395164	49.2440919	50.7559081	0	0	-595.5695384	0.03701642294	964.8130199999	
593.0095384	92	8	0.9617955112	0.03995254716	59.96098688	40.03901312	48.79810628	51.20189372	0	0	-593.0095384	0.03995254716	802.345249003876	
590.4495384	92	8	0.963440474	0.0435186555	58.97722584	41.02277416	48.33496941	51.66503059	0	0	-590.4495384	0.0435186555	656.216046396175	
587.8895384	92	8	0.965175355	0.04793326066	57.93743158	42.06256842	47.85151842	52.14848158	0	0	-587.8895384	0.04793326066	525.915748638385	
585.3295384	92	8	0.9670220436	0.0535289212	56.83204322	43.16795678	47.34361243	52.65638757	0	0	-585.3295384	0.0535289212	411.000686590519	
582.7695384	92	8	0.969010997	0.06083756698	55.64819318	44.35180682	46.80565276	53.19434724	0	0	-582.7695384	0.06083756698	311.083198786081	
580.2095384	92	8	0.9711867037	0.07076578499	54.36784493	45.63215507	46.22975198	53.77024802	0	0	-580.2095384	0.07076578499	225.821381548758	
577.6495384	92	8	0.9736185256	0.08499448743	52.96431556	47.03568444	45.60417489	54.39582511	0	0	-577.6495384	0.08499448743	154.912659361901	
575.0895384	92	8	0.9764250577	0.1070267028	51.39504443	48.60495557	44.91009432	55.08990568	0	0	-575.0895384	0.1070267028	98.0865462500127	
572.5295384	92	8	0.9798404342	0.1455796208	49.58400207	50.41599793	44.11364592	55.88635408	0	0	-572.5295384	0.1455796208	324.056953893475	
571.2495384	92	8	0.9817150698	0.09341905872	48.54355595	51.45644405	43.65720276	56.34279724	0	0	-571.2495384	0.09341905872	129.345553910562	
569.9695384	92	8	0.9839403945	0.1221726051	47.36649873	52.63350127	43.14092899	56.85907101	0	0	-569.9695384	0.1221726051	37.2366042461884	
568.6895384	92	8	0.9867736855	0.1769436502	45.97782005	54.02217995	42.53088544	57.46911456	0	0	-568.6895384	0.1769436502	2208.92327435825	
568.0495384	92	8	0.9883736606	0.1212987079	45.15552126	54.84447874	42.16863197	57.83136803	0	0	-568.0495384	0.1212987079	595.631660557985	
567.4095384	92	8	0.990401615	0.1747930015	44.18777659	55.81222341	41.74084025	58.25915975	0	0	-567.4095384	0.1747930015	427.339754077462	
567.0895384	92	8	0.9915417883	0.1190190364	43.61668444	56.38331556	41.48745607	58.51254393	0	0	-567.0895384	0.1190190364	119.102574933903	
566.7695384	92	8	0.9929723734	0.1693915811	42.94771928	57.05228072	41.18959416	58.81040584	0	0	-566.7695384	0.1693915811	94.0677615540941	
566.6095384	92	8	0.9937704289	0.1137203864	42.55549191	57.44450809	41.01435728	58.98564272	0	0	-566.6095384	0.1137203864	29.3090241731407	
566.4495384	92	8	0.9947548227	0.1581971564	42.10009342	57.89990658	40.81028767	59.18971233	0	0	-566.4495384	0.1581971564	25.8572847016081	
566.3695384	92	8	0.9952976709	0.1036046039	41.83622538	58.16377462	40.69172405	59.30827595	0	0	-566.3695384	0.1036046039	9.06862581391034	
566.2895384	92	8	0.9959499462	0.1388342227	41.5344982	58.4655018	40.55584259	59.44415741	0	0	-566.2895384	0.1388342227	8.93836679441394	
566.2495384	92	8	0.9963039893	0.08748987544	41.3630049	58.6369951	40.47845925	59.52154075	0	0	-566.2495384	0.08748987544	3.8004249073038	
566.2095384	92	8	0.9967144094	0.1111236724	41.1713335	58.8286665	40.39183556	59.60816444	0	0	-566.2095384	0.1111236724	1.42996480748365	
566.1695384	92	8	0.9972142171	0.1522089089	40.94998166	59.05001834	40.29161465	59.70838535	0	0	-566.1695384	0.1522089089	5.21340783280203	
566.1495384	92	8	0.9974873721	0.09810706284	40.82262262	59.17737738	40.23385886	59.76614114	0	0	-566.1495384	0.09810706284	1.97713101217822	
566.1295384	92	8	0.9978101788	0.1285327827	40.6782601	59.3217399	40.16830909	59.83169091	0	0	-566.1295384	0.1285327827	0.549938994656708	
566.1095384	92	8	0.9982181693	0.1863775253	40.5073955	59.4926045	40.09060891	59.90939109	0	0	-566.1095384	0.1863775253	53.7250690847836	
566.0995384	92	8	0.9984461205	0.1279725642	40.4058297	59.5941703	40.04436087	59.95563913	0	0	-566.0995384	0.1279725642	12.582946979184	
566.0895384	92	8	0.9987331863	0.184787467	40.28575428	59.71424572	39.98962438	60.01037562	0	0	-566.0895384	0.184787467	0.145953417918019	
566.0795384	92	8	0.999156195	0.3339641399	40.1304947	59.8695053	39.91875081	60.08124919	0	0	-566.0795384	0.3339641399	0.0602628032723979	
566.0595384	92	8	1	1	39.91875081	60.08124919					-566.0595384	1	0.0300284131804745	
566.0395384	92	8	1	1	39.91875081	60.08124919					-566.0395384	1	NaN	
565.9995384	92	8	1	1	39.91875081	60.08124919					-565.9995384	1	NaN	
565.9195384	92	8	1	1	39.91875081	60.08124919					-565.9195384	1	NaN	
565.7595384	92	8	1	1	39.91875081	60.08124919					-565.7595384	1	NaN	
565.4395384	92	8	1	1	39.91875081	60.08124919					-565.4395384	1	NaN	
564.7995384	92	8	1	1	39.91875081	60.08124919					-564.7995384	1	NaN	
563.5195384	92	8	1	1	39.91875081	60.08124919					-563.5195384	1	NaN	
560.9595384	92	8	1	1	39.91875081	60.08124919					-560.9595384	1	NaN	
555.8395384	92	8	1	1	39.91875081	60.08124919					-555.8395384	1	NaN	
