T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
730.5720389	89	1	10	0.6791911097	0.01289461024	95.58071476	0.109246736	4.310038506	70.77818667	2.742715375	26.47909795				0	0	0				-730.5720389	0.01289461024	-17865.6057544814	
728.0120389	89	1	10	0.6833064245	0.01275360657	95.5138477	0.1068545884	4.379297708	70.45864025	2.776766688	26.76459307				0	0	0				-728.0120389	0.01275360657	-18464.492216606	
725.4520389	89	1	10	0.6873256701	0.01261717089	95.44645159	0.104468665	4.449079741	70.13933376	2.810914697	27.04975155				0	0	0				-725.4520389	0.01261717089	-19082.0787003573	
722.8920389	89	1	10	0.6912525594	0.01248514702	95.37851777	0.1020906717	4.519391553	69.82023246	2.845162684	27.33460486				0	0	0				-722.8920389	0.01248514702	-19719.3173395633	
720.3320389	89	1	10	0.6950906223	0.01235738708	95.31003754	0.09972226097	4.5902402	69.50130147	2.87951399	27.61918454				0	0	0				-720.3320389	0.01235738708	-20377.2426602779	
717.7720389	89	1	10	0.6988432164	0.01223375107	95.24100212	0.09736503218	4.661632845	69.18250576	2.913972017	27.90352222				0	0	0				-717.7720389	0.01223375107	-21056.9843191056	
715.2120389	89	1	10	0.7025135381	0.01211410642	95.1714027	0.09502053199	4.733576765	68.86381014	2.948540231	28.18764963				0	0	0				-715.2120389	0.01211410642	-21759.7745748113	
712.6520389	89	1	10	0.7061046321	0.01199832759	95.10123039	0.09269025456	4.806079352	68.54517918	2.983222168	28.47159865				0	0	0				-712.6520389	0.01199832759	-22486.9647531135	
710.0920389	89	1	10	0.7096194004	0.01188629573	95.03047624	0.09037564187	4.87914812	68.22657725	3.018021436	28.75540132				0	0	0				-710.0920389	0.01188629573	-23240.0377777316	
707.5320389	89	1	10	0.713060611	0.01177789832	94.95913121	0.08807808398	4.952790706	67.90796842	3.052941721	29.03908986				0	0	0				-707.5320389	0.01177789832	-24020.6200198139	
704.9720389	89	1	10	0.7164309053	0.01167302884	94.8871862	0.08579891932	5.027014876	67.5893165	3.087986786	29.32269671				0	0	0				-704.9720389	0.01167302884	-24830.506274221	
702.4120389	89	1	10	0.7197328058	0.01157158652	94.81463203	0.08353943495	5.101828533	67.27058495	3.123160483	29.60625457				0	0	0				-702.4120389	0.01157158652	-25671.6763474885	
699.8520389	89	1	10	0.722968723	0.01147347602	94.74145942	0.0813008668	5.177239715	66.95173688	3.158466752	29.88979637				0	0	0				-699.8520389	0.01147347602	-26546.3203836441	
697.2920389	89	1	10	0.7261409612	0.01137860722	94.66765899	0.07908440001	5.253256605	66.632735	3.193909626	30.17335537				0	0	0				-697.2920389	0.01137860722	-27456.8685993503	
694.7320389	89	1	10	0.7292517253	0.01128689496	94.59322129	0.07689116914	5.329887536	66.31354159	3.229493237	30.45696517				0	0	0				-694.7320389	0.01128689496	-28406.0317441107	
692.1720389	89	1	10	0.7323031255	0.0111982589	94.51813675	0.07472225847	5.407140995	65.99411847	3.265221825	30.74065971				0	0	0				-692.1720389	0.0111982589	-29396.8215086473	
