T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(MG@LIQUID)	w(SI@LIQUID)	w(AL@MG2SI)	w(MG@MG2SI)	w(SI@MG2SI)	dwdT_L(AL@LIQUID)	dwdT_L(MG@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI				
627.5323063	97	2	1	1	0.9730114094	99.69050626	0.2974893009	0.01200444292				0	63.38009805	36.61990195				-627.5323063	0.9730114094	-87527.6058533419	
627.4523063	97	2	1	1	0.9730104965	99.6905998	0.2974301108	0.01197009394				0	63.38009805	36.61990195				-627.4523063	0.9730104965	-87729.1286415919	
627.3723063	97	2	1	1	0.9730095856	99.69069312	0.2973710565	0.01193582373				0	63.38009805	36.61990195				-627.3723063	0.9730095856	-87926.8155054492	
627.2923063	97	2	1	1	0.9730086768	99.69078623	0.2973121377	0.01190163217				0	63.38009805	36.61990195				-627.2923063	0.9730086768	-88130.2275683909	
627.2123063	97	2	1	1	0.9730077701	99.69087913	0.2972533543	0.01186751915				0	63.38009805	36.61990195				-627.2123063	0.9730077701	-88334.5829733904	
627.1323063	97	2	1	1	0.9730068655	99.69097181	0.297194706	0.01183348457				0	63.38009805	36.61990195				-627.1323063	0.9730068655	-88539.8882976033	
627.0523063	97	2	1	1	0.973005963	99.69106428	0.2971361927	0.01179952832				0	63.38009805	36.61990195				-627.0523063	0.973005963	-88741.2056249024	
626.9723063	97	2	1	1	0.9730050625	99.69115654	0.2970778142	0.01176565028				0	63.38009805	36.61990195				-626.9723063	0.9730050625	-88948.4537846075	
626.8923063	97	2	1	1	0.9730041642	99.69124858	0.2970195703	0.01173185036				0	63.38009805	36.61990195				-626.8923063	0.9730041642	-89156.5794320587	
626.8123063	97	2	1	1	0.9730032679	99.69134041	0.2969614608	0.01169812843				0	63.38009805	36.61990195				-626.8123063	0.9730032679	-89360.7596685077	
626.7323063	97	2	1	1	0.9730023737	99.69143203	0.2969034855	0.01166448439				0	63.38009805	36.61990195				-626.7323063	0.9730023737	-89565.8313352072	
626.6523063	97	2	1	1	0.9730014815	99.69152344	0.2968456442	0.01163091814				0	63.38009805	36.61990195				-626.6523063	0.9730014815	-89771.8926372261	
626.5723063	97	2	1	1	0.9730005914	99.69161463	0.2967879368	0.01159742956				0	63.38009805	36.61990195				-626.5723063	0.9730005914	-89983.941482398	
626.4923063	97	2	1	1	0.9729997034	99.69170562	0.296730363	0.01156401854				0	63.38009805	36.61990195				-626.4923063	0.9729997034	-90196.9944570397	
626.4123063	97	2	1	1	0.9729988175	99.69179639	0.2966729227	0.01153068497				0	63.38009805	36.61990195				-626.4123063	0.9729988175	-90405.9264664985	
626.3323063	97	2	1	1	0.9729979336	99.69188696	0.2966156157	0.01149742875				0	63.38009805	36.61990195				-626.3323063	0.9729979336	-90610.7206443073	
626.2523063	97	2	1	1	0.9729970517	99.69197731	0.2965584418	0.01146424977				0	63.38009805	36.61990195				-626.2523063	0.9729970517	-90821.623829951	
626.1723063	97	2	1	1	0.9729961719	99.69206745	0.2965014008	0.0114311479				0	63.38009805	36.61990195				-626.1723063	0.9729961719	-91038.6667870423	
626.0923063	97	2	1	1	0.9729952942	99.69215738	0.2964444925	0.01139812305				0	63.38009805	36.61990195				-626.0923063	0.9729952942	-91251.5206701439	
626.0123063	97	2	1	1	0.9729944185	99.69224711	0.2963877167	0.01136517511				0	63.38009805	36.61990195				-626.0123063	0.9729944185	-91460.1681998966	
